packet,time_us, angle
0, 492306565, 1424
0, 492311565, 1412
0, 492316565, 1399
0, 492321565, 1386
0, 492326565, 1373
0, 492331565, 1360
0, 492336565, 1349
0, 492341565, 1335
0, 492346565, 1321
0, 492351565, 1306
0, 492356565, 1291
0, 492361565, 1276
0, 492366565, 1261
0, 492371565, 1245
0, 492376565, 1228
0, 492381565, 1212
0, 492386565, 1195
0, 492391565, 1178
0, 492396565, 1161
0, 492401565, 1143
0, 492406565, 1125
0, 492411565, 1106
0, 492416565, 1088
0, 492421565, 1069
0, 492426565, 1049
0, 492431565, 1030
0, 492436565, 1010
0, 492441565, 989
0, 492446565, 968
0, 492451565, 947
0, 492456565, 925
0, 492461565, 904
0, 492466565, 882
0, 492471565, 859
0, 492476565, 836
0, 492481565, 813
0, 492486565, 790
0, 492491565, 766
0, 492496565, 742
0, 492501565, 717
0, 492506565, 693
0, 492511565, 668
0, 492516565, 643
0, 492521565, 617
0, 492526565, 591
0, 492531565, 565
0, 492536565, 539
0, 492541565, 512
0, 492546565, 485
0, 492551565, 458
0, 492556565, 431
0, 492561565, 403
0, 492566565, 376
0, 492571565, 347
0, 492576565, 325
0, 492581565, 297
0, 492586565, 269
0, 492591565, 240
0, 492596565, 211
0, 492601565, 183
0, 492606565, 154
0, 492611565, 125
0, 492616565, 97
0, 492621565, 67
0, 492626565, 38
0, 492631565, 10
0, 492636565, -19
0, 492641565, -49
0, 492646565, -78
0, 492651565, -106
0, 492656565, -135
0, 492661565, -163
0, 492666565, -192
0, 492671565, -221
0, 492676565, -249
0, 492681565, -277
0, 492686565, -305
0, 492691565, -333
0, 492696565, -361
0, 492701565, -388
0, 492706565, -415
0, 492711565, -443
0, 492716565, -470
0, 492721565, -496
0, 492726565, -522
0, 492731565, -548
0, 492736565, -574
0, 492741565, -600
0, 492746565, -625
0, 492751565, -650
0, 492756565, -674
0, 492761565, -698
0, 492766565, -723
0, 492771565, -746
0, 492776565, -769
0, 492781565, -788
0, 492786565, -810
0, 492791565, -832
0, 492796565, -854
0, 492801565, -876
0, 492806565, -898
0, 492811565, -919
0, 492816565, -939
0, 492821565, -960
0, 492826565, -979
0, 492831565, -999
0, 492836565, -1018
0, 492841565, -1037
0, 492846565, -1056
0, 492851565, -1074
0, 492856565, -1091
0, 492861565, -1109
0, 492866565, -1126
0, 492871565, -1142
0, 492876565, -1159
0, 492881565, -1175
0, 492886565, -1191
0, 492891565, -1206
0, 492896565, -1221
0, 492901565, -1235
0, 492906565, -1250
0, 492911565, -1264
0, 492916565, -1278
0, 492921565, -1291
0, 492926565, -1304
0, 492931565, -1317
0, 492936565, -1329
0, 492941565, -1342
0, 492946565, -1353
0, 492951565, -1365
0, 492956565, -1376
0, 492961565, -1387
0, 492966565, -1398
0, 492971565, -1408
0, 492976565, -1418
0, 492981565, -1428
0, 492986565, -1438
0, 492991565, -1447
0, 492996565, -1456
0, 493001565, -1465
0, 493006565, -1473
0, 493011565, -1482
0, 493016565, -1489
0, 493021565, -1496
0, 493026565, -1503
0, 493031565, -1510
0, 493036565, -1517
0, 493041565, -1524
0, 493046565, -1530
0, 493051565, -1537
0, 493056565, -1543
0, 493061565, -1549
0, 493066565, -1554
0, 493071565, -1559
0, 493076565, -1565
0, 493081565, -1570
0, 493086565, -1574
0, 493091565, -1579
0, 493096565, -1583
0, 493101565, -1587
0, 493106565, -1591
0, 493111565, -1594
0, 493116565, -1597
0, 493121565, -1601
0, 493126565, -1604
0, 493131565, -1606
0, 493136565, -1609
0, 493141565, -1611
0, 493146565, -1613
0, 493151565, -1615
0, 493156565, -1617
0, 493161565, -1619
0, 493166565, -1620
0, 493171565, -1621
0, 493176565, -1622
0, 493181565, -1623
0, 493186565, -1623
0, 493191565, -1624
0, 493196565, -1624
0, 493201565, -1624
0, 493206565, -1624
0, 493211565, -1623
0, 493216565, -1623
0, 493221565, -1622
0, 493226565, -1621
0, 493231565, -1620
0, 493236565, -1618
0, 493241565, -1617
0, 493246565, -1615
0, 493251565, -1613
0, 493256565, -1610
0, 493261565, -1608
0, 493266565, -1605
0, 493271565, -1603
0, 493276565, -1600
0, 493281565, -1596
0, 493286565, -1593
0, 493291565, -1589
0, 493296565, -1585
0, 493301565, -1581
0, 493306565, -1577
0, 493311565, -1572
0, 493316565, -1568
0, 493321565, -1563
0, 493326565, -1558
0, 493331565, -1553
0, 493336565, -1548
0, 493341565, -1542
0, 493346565, -1536
0, 493351565, -1529
0, 493356565, -1523
0, 493361565, -1516
0, 493366565, -1509
0, 493371565, -1502
0, 493376565, -1495
0, 493381565, -1487
0, 493386565, -1479
0, 493391565, -1471
0, 493396565, -1462
0, 493401565, -1454
0, 493406565, -1445
0, 493411565, -1435
0, 493416565, -1426
0, 493421565, -1416
0, 493426565, -1406
0, 493431565, -1396
0, 493436565, -1385
0, 493441565, -1374
0, 493446565, -1363
0, 493451565, -1352
0, 493456565, -1340
0, 493461565, -1328
0, 493466565, -1315
0, 493471565, -1303
0, 493476565, -1290
0, 493481565, -1276
0, 493486565, -1263
0, 493491565, -1249
0, 493496565, -1235
0, 493501565, -1220
0, 493506565, -1206
0, 493511565, -1190
0, 493516565, -1174
0, 493521565, -1159
0, 493526565, -1143
0, 493531565, -1126
0, 493536565, -1109
0, 493541565, -1092
0, 493546565, -1074
0, 493551565, -1056
0, 493556565, -1038
0, 493561565, -1020
0, 493566565, -1001
0, 493571565, -982
0, 493576565, -962
0, 493581565, -942
0, 493586565, -926
0, 493591565, -906
0, 493596565, -885
0, 493601565, -864
0, 493606565, -842
0, 493611565, -820
0, 493616565, -798
0, 493621565, -776
0, 493626565, -753
0, 493631565, -730
0, 493636565, -707
0, 493641565, -683
0, 493646565, -659
0, 493651565, -635
0, 493656565, -610
0, 493661565, -585
0, 493666565, -560
0, 493671565, -535
0, 493676565, -509
0, 493681565, -483
0, 493686565, -457
0, 493691565, -431
0, 493696565, -405
0, 493701565, -377
0, 493706565, -351
0, 493711565, -324
0, 493716565, -296
0, 493721565, -269
0, 493726565, -241
0, 493731565, -214
0, 493736565, -186
0, 493741565, -159
0, 493746565, -130
0, 493751565, -103
0, 493756565, -75
0, 493761565, -47
0, 493766565, -19
0, 493771565, 9
0, 493776565, 37
0, 493781565, 65
0, 493786565, 93
0, 493791565, 120
0, 493796565, 149
0, 493801565, 176
0, 493806565, 198
0, 493811565, 225
0, 493816565, 252
0, 493821565, 279
0, 493826565, 307
0, 493831565, 333
0, 493836565, 360
0, 493841565, 386
0, 493846565, 413
0, 493851565, 439
0, 493856565, 465
0, 493861565, 490
0, 493866565, 515
0, 493871565, 540
0, 493876565, 565
0, 493881565, 590
0, 493886565, 614
0, 493891565, 637
0, 493896565, 661
0, 493901565, 684
0, 493906565, 708
0, 493911565, 730
0, 493916565, 752
0, 493921565, 774
0, 493926565, 796
0, 493931565, 817
0, 493936565, 838
0, 493941565, 859
0, 493946565, 879
0, 493951565, 899
0, 493956565, 918
0, 493961565, 938
0, 493966565, 957
0, 493971565, 975
0, 493976565, 993
0, 493981565, 1011
0, 493986565, 1029
0, 493991565, 1046
0, 493996565, 1062
0, 494001565, 1079
0, 494006565, 1095
0, 494011565, 1111
0, 494016565, 1126
0, 494021565, 1141
0, 494026565, 1156
0, 494031565, 1170
0, 494036565, 1184
0, 494041565, 1198
0, 494046565, 1208
0, 494051565, 1221
0, 494056565, 1234
0, 494061565, 1246
0, 494066565, 1258
0, 494071565, 1270
0, 494076565, 1282
0, 494081565, 1293
0, 494086565, 1303
0, 494091565, 1314
0, 494096565, 1324
0, 494101565, 1334
0, 494106565, 1343
0, 494111565, 1352
0, 494116565, 1361
0, 494121565, 1370
0, 494126565, 1378
0, 494131565, 1386
0, 494136565, 1394
0, 494141565, 1401
0, 494146565, 1409
0, 494151565, 1415
0, 494156565, 1422
0, 494161565, 1428
0, 494166565, 1434
0, 494171565, 1440
0, 494176565, 1446
0, 494181565, 1451
0, 494186565, 1456
0, 494191565, 1460
0, 494196565, 1465
0, 494201565, 1469
0, 494206565, 1473
0, 494211565, 1477
0, 494216565, 1480
