time_us, pwm, position, angle
962673923, 0, 0.00131689, 0.0361283
962683923, 0, 0.00131689, 0.0361283
962693923, 0, 0.00131689, 0.0345575
962703923, 0, 0.00131689, 0.0345575
962713923, 0, 0.00131689, 0.0329867
962723923, 0, 0.00131689, 0.0314159
962733923, 0, 0.00131689, 0.0298451
962743923, 0, 0.00131689, 0.0282743
962753923, 0, 0.00131689, 0.0267035
962763923, 0, 0.00131689, 0.0267035
962773923, 0, 0.00131689, 0.0251327
962783923, 0, 0.00131689, 0.0235619
962793923, 0, 0.00131689, 0.0219911
962803923, 0, 0.00131689, 0.0204204
962813923, 0, 0.00131689, 0.0172788
962823923, 0, 0.00131689, 0.015708
962833923, 0, 0.00131689, 0.0141372
962843923, 0, 0.00131689, 0.0125664
962853923, 0, 0.00131689, 0.0109956
962863923, 0, 0.00131689, 0.00942478
962873923, 0, 0.00131689, 0.00785398
962883923, 0, 0.00131689, 0.00628319
962893923, 0, 0.00131689, 0.00314159
962903923, 0, 0.00131689, 0.0015708
962913923, 0, 0.00131689, 0
962923923, 0, 0.00136677, -0.0015708
962933923, 0, 0.00142663, -0.00471239
962943923, 0, 0.00151642, -0.00628319
962953923, 0, 0.00162616, -0.00785398
962963923, 0, 0.0017359, -0.00942478
962973923, 0, 0.00188554, -0.0125664
962983923, 0, 0.00209505, -0.0141372
962993923, 0, 0.00247415, -0.0172788
963003923, 0, 0.00327226, -0.0204204
963013923, 0, 0.00429983, -0.0251327
963023923, 0, 0.00623526, -0.0298451
963033923, 0, 0.00890894, -0.0376991
963043923, 0, 0.0122012, -0.0455531
963053923, 0, 0.0159523, -0.0565487
963063923, 0, 0.0201424, -0.0675442
963073923, 0, 0.0246717, -0.0785398
963083923, 0, 0.0289117, -0.0879646
963093926, 0, 0.03384, -0.100531
963103926, 0, 0.038898, -0.111527
963113926, 0, 0.0441357, -0.122522
963123926, 0, 0.049503, -0.135088
963133926, 0, 0.0543316, -0.146084
963143926, 0, 0.0598784, -0.15708
963153926, 0, 0.0654553, -0.169646
963163926, 0, 0.071072, -0.179071
963173926, 0, 0.0767386, -0.190066
963183926, 0, 0.0818964, -0.199491
963193926, 0, 0.0876428, -0.210487
963203926, 0, 0.0934291, -0.219911
963213926, 0, 0.0991257, -0.229336
963223926, 0, 0.104423, -0.23719
963233926, 0, 0.110249, -0.245044
963243926, 0, 0.116086, -0.252898
963253926, 0, 0.121982, -0.260752
963263926, 0, 0.127219, -0.267035
963273926, 0, 0.133115, -0.273319
963283926, 0, 0.139011, -0.278031
963293926, 0, 0.144798, -0.284314
963303926, 0, 0.150754, -0.287456
963313926, 0, 0.156051, -0.290597
963323926, 0, 0.161937, -0.293739
963333926, 0, 0.167773, -0.296881
963343926, 0, 0.173739, -0.298451
963353926, 0, 0.178987, -0.300022
963363926, 0, 0.184913, -0.300022
963373926, 0, 0.190669, -0.300022
963383926, 0, 0.196266, -0.298451
963393926, 0, 0.201274, -0.29531
963403926, 0, 0.205085, -0.290597
963413926, 0, 0.208687, -0.282743
963423926, 0, 0.211789, -0.274889
963433926, 0, 0.214214, -0.262323
963443926, 0, 0.21576, -0.249757
963453926, 0, 0.216668, -0.234049
963463926, 0, 0.216877, -0.21677
963473926, 0, 0.216568, -0.199491
963483926, 0, 0.214792, -0.175929
963493926, 0, 0.212917, -0.153938
963503926, 0, 0.209664, -0.128805
963513926, 0, 0.206252, -0.0973894
963523926, 0, 0.202092, -0.0753982
963533926, 0, 0.197752, -0.0376991
963543926, 0, 0.192934, -0.0141372
963553926, 0, 0.188664, 0.0172788
963563926, 0, 0.183436, 0.0471239
963573926, 0, 0.178338, 0.076969
963583926, 0, 0.172821, 0.113097
963593926, 0, 0.167384, 0.141372
963603926, 0, 0.162316, 0.171217
963613926, 0, 0.15671, 0.202633
963623926, 0, 0.150993, 0.230907
963633926, 0, 0.145157, 0.265465
963643926, 0, 0.139969, 0.290597
963653926, 0, 0.134073, 0.320442
963663926, 0, 0.128187, 0.350288
963673926, 0, 0.122291, 0.376991
963683926, 0, 0.116904, 0.405265
963693926, 0, 0.111028, 0.427257
963703926, 0, 0.105102, 0.45396
963713926, 0, 0.0990658, 0.479093
963723926, 0, 0.0931398, 0.501084
963733926, 0, 0.0876927, 0.523075
963743926, 0, 0.0817068, 0.543496
963753926, 0, 0.075701, 0.563916
963763926, 0, 0.0696853, 0.584336
963773926, 0, 0.0642381, 0.598473
963783926, 0, 0.0583022, 0.615752
963793926, 0, 0.0522565, 0.63146
963803926, 0, 0.0462507, 0.644026
963813926, 0, 0.0407936, 0.656593
963823926, 0, 0.0347279, 0.666018
963833926, 0, 0.0287421, 0.677013
963843926, 0, 0.0226664, 0.684867
963853926, 0, 0.0172093, 0.69115
963863926, 0, 0.0111836, 0.697434
963873926, 0, 0.00519771, 0.700575
963883926, 0, -0.000847995, 0.703717
963893926, 0, -0.0068937, 0.705288
963903926, 0, -0.0123708, 0.705288
963913926, 0, -0.0184065, 0.702146
963923926, 0, -0.0244522, 0.699004
963933926, 0, -0.0305079, 0.694292
963943926, 0, -0.035945, 0.68958
963953926, 0, -0.0419309, 0.683296
963963926, 0, -0.0479766, 0.673872
963973926, 0, -0.0541021, 0.662876
963983926, 0, -0.0594894, 0.65188
963993926, 0, -0.0655251, 0.639314
964003926, 0, -0.0715808, 0.625177
964013926, 0, -0.0776165, 0.609469
964023926, 0, -0.0830936, 0.595332
964033926, 0, -0.0891492, 0.576482
964043926, 0, -0.0952049, 0.556062
964053926, 0, -0.101151, 0.537212
964063926, 0, -0.106907, 0.515221
964073926, 0, -0.112694, 0.494801
964083926, 0, -0.118729, 0.471239
964093926, 0, -0.124815, 0.446106
964103926, 0, -0.130841, 0.420973
964113926, 0, -0.136298, 0.395841
964123926, 0, -0.142373, 0.369137
964133926, 0, -0.148409, 0.340863
964143926, 0, -0.154455, 0.311018
964153926, 0, -0.159702, 0.285885
