pwm, time_us, position
50, 798544168, -0.27511
50, 798549168, -0.27511
50, 798554168, -0.27511
50, 798559168, -0.27511
50, 798564168, -0.27504
50, 798569168, -0.27481
50, 798574168, -0.274541
50, 798579168, -0.274331
50, 798584168, -0.274032
50, 798589168, -0.273783
50, 798594168, -0.273513
50, 798599168, -0.273194
50, 798604168, -0.272845
50, 798609168, -0.272546
50, 798614168, -0.272197
50, 798619168, -0.271897
50, 798624168, -0.271558
50, 798629168, -0.271209
50, 798634168, -0.27081
50, 798639168, -0.270431
50, 798644168, -0.270101
50, 798649168, -0.269712
50, 798654168, -0.269323
50, 798659168, -0.268924
50, 798664168, -0.268515
50, 798669168, -0.268076
50, 798674168, -0.267767
50, 798679168, -0.267358
50, 798684168, -0.266919
50, 798689168, -0.26651
50, 798694168, -0.266081
50, 798699168, -0.265652
50, 798704168, -0.265233
50, 798709168, -0.264794
50, 798714168, -0.264365
50, 798719168, -0.263926
50, 798724168, -0.263497
50, 798729168, -0.263078
50, 798734168, -0.262649
50, 798739168, -0.26219
50, 798744168, -0.261761
50, 798749168, -0.261352
50, 798754168, -0.260933
50, 798759168, -0.260514
50, 798764168, -0.260095
50, 798769168, -0.259676
50, 798774168, -0.259267
50, 798779168, -0.258868
50, 798784168, -0.258459
50, 798789168, -0.25807
50, 798794168, -0.257661
50, 798799168, -0.257262
50, 798804168, -0.256863
50, 798809168, -0.256464
50, 798814168, -0.256065
50, 798819168, -0.255666
50, 798824168, -0.255267
50, 798829168, -0.254877
50, 798834168, -0.254458
50, 798839168, -0.254049
50, 798844168, -0.25364
50, 798849168, -0.253251
50, 798854168, -0.252842
50, 798859168, -0.252433
50, 798864168, -0.252024
50, 798869168, -0.251615
50, 798874168, -0.251186
50, 798879168, -0.250777
50, 798884168, -0.250448
50, 798889168, -0.250029
50, 798894168, -0.24962
50, 798899168, -0.249211
50, 798904168, -0.248782
50, 798909168, -0.248373
50, 798914168, -0.247974
50, 798919168, -0.247565
50, 798924168, -0.247176
50, 798929168, -0.246777
50, 798934168, -0.246368
50, 798939168, -0.245978
50, 798944168, -0.245599
50, 798949168, -0.24521
50, 798954168, -0.244821
50, 798959168, -0.244432
50, 798964168, -0.244043
50, 798969168, -0.243674
50, 798974168, -0.243295
50, 798979168, -0.242906
50, 798984168, -0.242517
50, 798989168, -0.242118
50, 798994168, -0.241729
50, 798999168, -0.241329
50, 799004168, -0.24093
50, 799009168, -0.240521
50, 799014168, -0.240102
50, 799019168, -0.239693
50, 799024168, -0.239284
50, 799029168, -0.238885
50, 799034168, -0.238456
50, 799039168, -0.238027
50, 799044168, -0.237618
50, 799049168, -0.237199
50, 799054168, -0.23677
50, 799059168, -0.236331
50, 799064168, -0.235912
50, 799069168, -0.235493
50, 799074168, -0.235074
50, 799079168, -0.234635
50, 799084168, -0.234206
50, 799089168, -0.233877
50, 799094168, -0.233478
50, 799099168, -0.233079
50, 799104168, -0.23267
50, 799109168, -0.232251
50, 799114168, -0.231832
50, 799119168, -0.231423
50, 799124168, -0.231014
50, 799129168, -0.230605
50, 799134168, -0.230176
50, 799139168, -0.229777
50, 799144168, -0.229368
50, 799149168, -0.228939
50, 799154168, -0.22851
50, 799159168, -0.228101
50, 799164168, -0.227682
50, 799169168, -0.227253
50, 799174168, -0.226804
50, 799179168, -0.226355
50, 799184168, -0.225916
50, 799189168, -0.225477
50, 799194168, -0.225048
50, 799199168, -0.224619
50, 799204168, -0.22417
50, 799209168, -0.223721
50, 799214168, -0.223292
50, 799219168, -0.222863
50, 799224168, -0.222414
50, 799229168, -0.221965
50, 799234168, -0.221526
50, 799239168, -0.221107
50, 799244168, -0.220668
50, 799249168, -0.220239
50, 799254168, -0.21982
50, 799259168, -0.219401
50, 799264168, -0.218972
50, 799269168, -0.218553
50, 799274168, -0.218144
50, 799279168, -0.217745
50, 799284168, -0.217326
50, 799289168, -0.216917
50, 799294168, -0.216598
50, 799299168, -0.216179
50, 799304168, -0.21577
50, 799309168, -0.215371
50, 799314168, -0.214962
50, 799319168, -0.214543
50, 799324168, -0.214114
50, 799329168, -0.213695
50, 799334168, -0.213286
50, 799339168, -0.212867
50, 799344168, -0.212458
50, 799349168, -0.212049
50, 799354168, -0.21163
50, 799359168, -0.211201
50, 799364168, -0.210792
50, 799369168, -0.210373
50, 799374168, -0.209964
50, 799379168, -0.209545
50, 799384168, -0.209126
50, 799389168, -0.208697
50, 799394168, -0.208288
50, 799399168, -0.207879
50, 799404168, -0.20748
50, 799409168, -0.20707
50, 799414168, -0.206661
50, 799419168, -0.206262
50, 799424168, -0.205873
50, 799429168, -0.205494
50, 799434168, -0.205095
50, 799439168, -0.204716
50, 799444168, -0.204327
50, 799449168, -0.203938
50, 799454168, -0.203559
50, 799459168, -0.20318
50, 799464168, -0.202781
50, 799469168, -0.202382
50, 799474168, -0.201982
50, 799479168, -0.201573
50, 799484168, -0.201174
50, 799489168, -0.200765
50, 799494168, -0.200326
50, 799499168, -0.199987
50, 799504168, -0.199588
50, 799509168, -0.199179
50, 799514168, -0.19875
50, 799519168, -0.198321
50, 799524168, -0.197902
50, 799529168, -0.197503
50, 799534168, -0.197084
50, 799539168, -0.196665
50, 799544168, -0.196206
50, 799549168, -0.195787
50, 799554168, -0.195368
50, 799559168, -0.194949
50, 799564168, -0.19452
50, 799569168, -0.194091
50, 799574168, -0.193672
50, 799579168, -0.193273
50, 799584168, -0.192864
50, 799589168, -0.192465
