pwm, time_us, position, angle
50, 3678014823, -0.27496, 0.0596903
50, 3678019823, -0.27496, 0.0612611
50, 3678024823, -0.27496, 0.0612611
50, 3678029823, -0.27496, 0.0612611
50, 3678034823, -0.27488, 0.0628319
50, 3678039823, -0.274661, 0.0612611
50, 3678044823, -0.274371, 0.0628319
50, 3678049823, -0.274152, 0.0628319
50, 3678054823, -0.273922, 0.0612611
50, 3678059823, -0.273593, 0.0612611
50, 3678064823, -0.273314, 0.0628319
50, 3678069823, -0.272985, 0.0596903
50, 3678074823, -0.272695, 0.0581195
50, 3678079823, -0.272356, 0.0596903
50, 3678084823, -0.272007, 0.0581195
50, 3678089823, -0.271638, 0.0565487
50, 3678094823, -0.271339, 0.0581195
50, 3678099823, -0.270949, 0.0565487
50, 3678104823, -0.27053, 0.0549779
50, 3678109823, -0.270161, 0.0549779
50, 3678114823, -0.269782, 0.0549779
50, 3678119823, -0.269393, 0.0518363
50, 3678124823, -0.268984, 0.0502655
50, 3678129823, -0.268585, 0.0518363
50, 3678134823, -0.268166, 0.0502655
50, 3678139823, -0.267777, 0.0471239
50, 3678144823, -0.267348, 0.0471239
50, 3678149823, -0.266909, 0.0471239
50, 3678154823, -0.2665, 0.0439823
50, 3678159823, -0.266071, 0.0439823
50, 3678164823, -0.265632, 0.0424115
50, 3678169823, -0.265203, 0.0408407
50, 3678174823, -0.264774, 0.0392699
50, 3678179823, -0.264335, 0.0392699
50, 3678184823, -0.263986, 0.0376991
50, 3678189823, -0.263557, 0.0361283
50, 3678194823, -0.263138, 0.0345575
50, 3678199823, -0.262689, 0.0329867
50, 3678204823, -0.26226, 0.0314159
50, 3678209823, -0.261831, 0.0298451
50, 3678214823, -0.261412, 0.0282743
50, 3678219823, -0.260983, 0.0282743
50, 3678224823, -0.260574, 0.0267035
50, 3678229823, -0.260155, 0.0251327
50, 3678234823, -0.259746, 0.0235619
50, 3678239823, -0.259337, 0.0219911
50, 3678244823, -0.258938, 0.0204204
50, 3678249823, -0.258529, 0.0188496
50, 3678254823, -0.25812, 0.0188496
50, 3678259823, -0.257721, 0.015708
50, 3678264823, -0.257332, 0.0141372
50, 3678269823, -0.256933, 0.0141372
50, 3678274823, -0.256524, 0.0125664
50, 3678279823, -0.256125, 0.00942478
50, 3678284823, -0.255725, 0.00942478
50, 3678289823, -0.255336, 0.00785398
50, 3678294823, -0.254927, 0.00628319
50, 3678299823, -0.254508, 0.00471239
50, 3678304823, -0.254099, 0.00314159
50, 3678309823, -0.25371, 0.0015708
50, 3678314823, -0.253301, 0
50, 3678319823, -0.252882, -0.0015708
50, 3678324823, -0.252473, -0.0015708
50, 3678329823, -0.252064, -0.00471239
50, 3678334823, -0.251645, -0.00628319
50, 3678339823, -0.251226, -0.00628319
50, 3678344823, -0.250817, -0.00785398
50, 3678349823, -0.250408, -0.0109956
50, 3678354823, -0.249999, -0.0109956
50, 3678359823, -0.24959, -0.0125664
50, 3678364823, -0.249241, -0.0141372
50, 3678369823, -0.248832, -0.015708
50, 3678374823, -0.248423, -0.015708
50, 3678379823, -0.248024, -0.0172788
50, 3678384823, -0.247615, -0.0188496
50, 3678389823, -0.247226, -0.0204204
50, 3678394823, -0.246826, -0.0219911
50, 3678399823, -0.246437, -0.0235619
50, 3678404823, -0.246048, -0.0235619
50, 3678409823, -0.245659, -0.0251327
50, 3678414823, -0.24528, -0.0267035
50, 3678419823, -0.244881, -0.0282743
50, 3678424823, -0.244502, -0.0282743
50, 3678429823, -0.244113, -0.0298451
50, 3678434823, -0.243744, -0.0314159
50, 3678439823, -0.243355, -0.0329867
50, 3678444823, -0.242966, -0.0329867
50, 3678449823, -0.242567, -0.0345575
50, 3678454823, -0.242167, -0.0361283
50, 3678459823, -0.241778, -0.0361283
50, 3678464823, -0.241379, -0.0376991
50, 3678469823, -0.24098, -0.0392699
50, 3678474823, -0.240561, -0.0392699
50, 3678479823, -0.240142, -0.0408407
50, 3678484823, -0.239733, -0.0424115
50, 3678489823, -0.239334, -0.0424115
50, 3678494823, -0.238915, -0.0439823
50, 3678499823, -0.238496, -0.0455531
50, 3678504823, -0.238067, -0.0455531
50, 3678509823, -0.237668, -0.0471239
50, 3678514823, -0.237239, -0.0471239
50, 3678519823, -0.23682, -0.0486947
50, 3678524823, -0.236371, -0.0486947
50, 3678529823, -0.235962, -0.0502655
50, 3678534823, -0.235543, -0.0502655
50, 3678539823, -0.235124, -0.0518363
50, 3678544823, -0.234755, -0.0518363
50, 3678549823, -0.234326, -0.0534071
50, 3678554823, -0.233927, -0.0534071
50, 3678559823, -0.233518, -0.0534071
50, 3678564823, -0.233119, -0.0549779
50, 3678569823, -0.2327, -0.0549779
50, 3678574823, -0.232291, -0.0549779
50, 3678579823, -0.231872, -0.0565487
50, 3678584823, -0.231453, -0.0565487
50, 3678589823, -0.231054, -0.0565487
50, 3678594823, -0.230625, -0.0565487
50, 3678599823, -0.230216, -0.0565487
50, 3678604823, -0.229817, -0.0581195
50, 3678609823, -0.229398, -0.0581195
50, 3678614823, -0.228959, -0.0581195
50, 3678619823, -0.22854, -0.0581195
50, 3678624823, -0.228131, -0.0581195
50, 3678629823, -0.227702, -0.0596903
50, 3678634823, -0.227263, -0.0581195
50, 3678639823, -0.226824, -0.0581195
50, 3678644823, -0.226385, -0.0596903
50, 3678649823, -0.225946, -0.0596903
50, 3678654823, -0.225507, -0.0596903
50, 3678659823, -0.225078, -0.0596903
50, 3678664823, -0.224649, -0.0596903
50, 3678669823, -0.2242, -0.0596903
50, 3678674823, -0.223751, -0.0581195
50, 3678679823, -0.223332, -0.0581195
50, 3678684823, -0.222893, -0.0581195
50, 3678689823, -0.222454, -0.0581195
50, 3678694823, -0.222015, -0.0581195
50, 3678699823, -0.221576, -0.0581195
50, 3678704823, -0.221147, -0.0565487
50, 3678709823, -0.220718, -0.0565487
50, 3678714823, -0.220369, -0.0565487
50, 3678719823, -0.21996, -0.0565487
50, 3678724823, -0.219541, -0.0549779
50, 3678729823, -0.219122, -0.0549779
50, 3678734823, -0.218713, -0.0534071
50, 3678739823, -0.218304, -0.0534071
50, 3678744823, -0.217895, -0.0534071
50, 3678749823, -0.217496, -0.0518363
50, 3678754823, -0.217097, -0.0518363
50, 3678759823, -0.216688, -0.0502655
50, 3678764823, -0.216269, -0.0502655
50, 3678769823, -0.21587, -0.0486947
50, 3678774823, -0.215471, -0.0486947
50, 3678779823, -0.215062, -0.0471239
50, 3678784823, -0.214633, -0.0455531
50, 3678789823, -0.214204, -0.0455531
50, 3678794823, -0.213795, -0.0439823
50, 3678799823, -0.213386, -0.0439823
50, 3678804823, -0.212977, -0.0424115
50, 3678809823, -0.212557, -0.0408407
50, 3678814823, -0.212148, -0.0408407
50, 3678819823, -0.211719, -0.0392699
50, 3678824823, -0.2113, -0.0376991
50, 3678829823, -0.210901, -0.0376991
50, 3678834823, -0.210492, -0.0361283
50, 3678839823, -0.210083, -0.0345575
50, 3678844823, -0.209674, -0.0329867
50, 3678849823, -0.209245, -0.0329867
50, 3678854823, -0.208826, -0.0314159
50, 3678859823, -0.208417, -0.0298451
50, 3678864823, -0.208018, -0.0282743
50, 3678869823, -0.207609, -0.0267035
50, 3678874823, -0.20721, -0.0251327
50, 3678879823, -0.206811, -0.0251327
50, 3678884823, -0.206402, -0.0235619
50, 3678889823, -0.206083, -0.0219911
50, 3678894823, -0.205704, -0.0204204
50, 3678899823, -0.205325, -0.0188496
50, 3678904823, -0.204945, -0.0172788
50, 3678909823, -0.204546, -0.0172788
50, 3678914823, -0.204157, -0.015708
50, 3678919823, -0.203788, -0.0141372
50, 3678924823, -0.203399, -0.0125664
50, 3678929823, -0.20301, -0.0109956
50, 3678934823, -0.202611, -0.00942478
50, 3678939823, -0.202202, -0.00785398
50, 3678944823, -0.201803, -0.00628319
50, 3678949823, -0.201404, -0.00471239
50, 3678954823, -0.200985, -0.00314159
50, 3678959823, -0.200546, -0.00314159
50, 3678964823, -0.200137, -0.0015708
50, 3678969823, -0.199738, 0
50, 3678974823, -0.199339, 0.0015708
50, 3678979823, -0.1989, 0.00314159
50, 3678984823, -0.198481, 0.00471239
50, 3678989823, -0.198062, 0.00628319
50, 3678994823, -0.197663, 0.00785398
50, 3678999823, -0.197254, 0.00942478
50, 3679004823, -0.196815, 0.00942478
50, 3679009823, -0.196376, 0.0109956
50, 3679014823, -0.195957, 0.0125664
50, 3679019823, -0.195538, 0.0141372
50, 3679024823, -0.195119, 0.015708
50, 3679029823, -0.19468, 0.0172788
50, 3679034823, -0.194261, 0.0172788
50, 3679039823, -0.193852, 0.0188496
50, 3679044823, -0.193443, 0.0204204
50, 3679049823, -0.193034, 0.0219911
50, 3679054823, -0.192635, 0.0235619
50, 3679059823, -0.192236, 0.0235619
50, 3679064823, -0.191827, 0.0251327
50, 3679069823, -0.191417, 0.0267035
50, 3679074823, -0.191078, 0.0282743
50, 3679079823, -0.190659, 0.0282743
50, 3679084823, -0.19025, 0.0298451
50, 3679089823, -0.189851, 0.0314159
50, 3679094823, -0.189452, 0.0314159
50, 3679099823, -0.189013, 0.0329867
50, 3679104823, -0.188584, 0.0345575
50, 3679109823, -0.188165, 0.0361283
50, 3679114823, -0.187726, 0.0361283
50, 3679119823, -0.187287, 0.0376991
50, 3679124823, -0.186848, 0.0392699
50, 3679129823, -0.186409, 0.0392699
50, 3679134823, -0.18597, 0.0408407
50, 3679139823, -0.185521, 0.0424115
50, 3679144823, -0.185092, 0.0424115
