pwm, time_us, position, angle
10, 1320626897, -0.276177, 0.113097
10, 1320631897, -0.276177, 0.114668
10, 1320636897, -0.276177, 0.114668
10, 1320641897, -0.276177, 0.116239
10, 1320646897, -0.276157, 0.116239
10, 1320651897, -0.275988, 0.116239
10, 1320656897, -0.275768, 0.116239
10, 1320661897, -0.275608, 0.11781
10, 1320666897, -0.275389, 0.116239
10, 1320671897, -0.27513, 0.116239
10, 1320676897, -0.27491, 0.11781
10, 1320681897, -0.274661, 0.116239
10, 1320686897, -0.274441, 0.114668
10, 1320691897, -0.274192, 0.116239
10, 1320696897, -0.273942, 0.116239
10, 1320701897, -0.273683, 0.113097
10, 1320706897, -0.273483, 0.114668
10, 1320711897, -0.273244, 0.114668
10, 1320716897, -0.272975, 0.111527
10, 1320721897, -0.272725, 0.111527
10, 1320726897, -0.272476, 0.111527
10, 1320731897, -0.272206, 0.109956
10, 1320736897, -0.271947, 0.108385
10, 1320741897, -0.271688, 0.108385
10, 1320746897, -0.271418, 0.106814
10, 1320751897, -0.271139, 0.105243
10, 1320756897, -0.27087, 0.105243
10, 1320761897, -0.27058, 0.103673
10, 1320766897, -0.270291, 0.102102
10, 1320771897, -0.270002, 0.100531
10, 1320776897, -0.269712, 0.0989602
10, 1320781897, -0.269433, 0.0973894
10, 1320786897, -0.269144, 0.0958186
10, 1320791897, -0.268854, 0.0942478
10, 1320796897, -0.268535, 0.092677
10, 1320801897, -0.268246, 0.0895354
10, 1320806897, -0.267937, 0.0879646
10, 1320811897, -0.267687, 0.0863938
10, 1320816897, -0.267378, 0.084823
10, 1320821897, -0.267069, 0.0832522
10, 1320826897, -0.266739, 0.0801106
10, 1320831897, -0.26642, 0.0785398
10, 1320836897, -0.266101, 0.0753982
10, 1320841897, -0.265782, 0.0738274
10, 1320846897, -0.265452, 0.0722566
10, 1320851897, -0.265133, 0.069115
10, 1320856897, -0.264814, 0.0675442
10, 1320861897, -0.264485, 0.0644026
10, 1320866897, -0.264156, 0.0628319
10, 1320871897, -0.263846, 0.0596903
10, 1320876897, -0.263527, 0.0581195
10, 1320881897, -0.263208, 0.0549779
10, 1320886897, -0.262889, 0.0534071
10, 1320891897, -0.262559, 0.0502655
10, 1320896897, -0.26223, 0.0471239
10, 1320901897, -0.261911, 0.0455531
10, 1320906897, -0.261612, 0.0424115
10, 1320911897, -0.261312, 0.0392699
10, 1320916897, -0.261013, 0.0376991
10, 1320921897, -0.260714, 0.0345575
10, 1320926897, -0.260424, 0.0314159
10, 1320931897, -0.260115, 0.0298451
10, 1320936897, -0.259836, 0.0267035
10, 1320941897, -0.259546, 0.0235619
10, 1320946897, -0.259267, 0.0204204
10, 1320951897, -0.258978, 0.0188496
10, 1320956897, -0.258708, 0.015708
10, 1320961897, -0.258419, 0.0125664
10, 1320966897, -0.25814, 0.0109956
10, 1320971897, -0.25786, 0.00785398
10, 1320976897, -0.257581, 0.00471239
10, 1320981897, -0.257302, 0.0015708
10, 1320986897, -0.257022, 0
10, 1320991897, -0.256743, -0.00314159
10, 1320996897, -0.256474, -0.00628319
10, 1321001897, -0.256194, -0.00785398
10, 1321006897, -0.255905, -0.0109956
10, 1321011897, -0.255616, -0.0141372
10, 1321016897, -0.255346, -0.015708
10, 1321021897, -0.255067, -0.0188496
10, 1321026897, -0.254778, -0.0219911
10, 1321031897, -0.254488, -0.0235619
10, 1321036897, -0.254189, -0.0267035
10, 1321041897, -0.2539, -0.0298451
10, 1321046897, -0.25361, -0.0314159
10, 1321051897, -0.253321, -0.0345575
10, 1321056897, -0.253032, -0.0376991
10, 1321061897, -0.252742, -0.0392699
10, 1321066897, -0.252453, -0.0424115
10, 1321071897, -0.252154, -0.0439823
10, 1321076897, -0.251855, -0.0471239
10, 1321081897, -0.251615, -0.0486947
10, 1321086897, -0.251326, -0.0518363
10, 1321091897, -0.251027, -0.0534071
10, 1321096897, -0.250747, -0.0565487
10, 1321101897, -0.250458, -0.0581195
10, 1321106897, -0.250159, -0.0612611
10, 1321111897, -0.249869, -0.0628319
10, 1321116897, -0.24957, -0.0659734
10, 1321121897, -0.249281, -0.0675442
10, 1321126897, -0.248991, -0.069115
10, 1321131897, -0.248692, -0.0722566
10, 1321136897, -0.248393, -0.0738274
10, 1321141897, -0.248113, -0.0753982
10, 1321146897, -0.247834, -0.076969
10, 1321151897, -0.247555, -0.0801106
10, 1321156897, -0.247285, -0.0816814
10, 1321161897, -0.247016, -0.0832522
10, 1321166897, -0.246757, -0.084823
10, 1321171897, -0.246477, -0.0863938
10, 1321176897, -0.246208, -0.0879646
10, 1321181897, -0.245959, -0.0895354
10, 1321186897, -0.245699, -0.0911062
10, 1321191897, -0.24545, -0.092677
10, 1321196897, -0.2452, -0.0942478
10, 1321201897, -0.244941, -0.0958186
10, 1321206897, -0.244672, -0.0973894
10, 1321211897, -0.244422, -0.0973894
10, 1321216897, -0.244153, -0.0989602
10, 1321221897, -0.243903, -0.100531
10, 1321226897, -0.243654, -0.102102
10, 1321231897, -0.243395, -0.102102
10, 1321236897, -0.243125, -0.103673
10, 1321241897, -0.242856, -0.105243
10, 1321246897, -0.242587, -0.105243
10, 1321251897, -0.242307, -0.106814
10, 1321256897, -0.242038, -0.106814
10, 1321261897, -0.241758, -0.108385
10, 1321266897, -0.241479, -0.108385
10, 1321271897, -0.2412, -0.109956
10, 1321276897, -0.2409, -0.109956
10, 1321281897, -0.240611, -0.109956
10, 1321286897, -0.240322, -0.111527
10, 1321291897, -0.240023, -0.111527
10, 1321296897, -0.239723, -0.111527
10, 1321301897, -0.239434, -0.111527
10, 1321306897, -0.239135, -0.111527
10, 1321311897, -0.238835, -0.113097
10, 1321316897, -0.238536, -0.113097
10, 1321321897, -0.238227, -0.113097
10, 1321326897, -0.237937, -0.113097
10, 1321331897, -0.237628, -0.113097
10, 1321336897, -0.237339, -0.113097
10, 1321341897, -0.23703, -0.111527
10, 1321346897, -0.23672, -0.111527
10, 1321351897, -0.236461, -0.111527
10, 1321356901, -0.236152, -0.111527
10, 1321361901, -0.235842, -0.111527
10, 1321366901, -0.235543, -0.111527
10, 1321371901, -0.235244, -0.109956
10, 1321376901, -0.234935, -0.109956
10, 1321381901, -0.234625, -0.108385
10, 1321386901, -0.234316, -0.108385
10, 1321391901, -0.234027, -0.106814
10, 1321396901, -0.233737, -0.106814
10, 1321401901, -0.233468, -0.105243
10, 1321406901, -0.233179, -0.105243
10, 1321411901, -0.232899, -0.103673
10, 1321416901, -0.23262, -0.102102
10, 1321421901, -0.232331, -0.102102
10, 1321426901, -0.232031, -0.100531
10, 1321431901, -0.231742, -0.0989602
10, 1321436901, -0.231463, -0.0973894
10, 1321441901, -0.231164, -0.0958186
10, 1321446901, -0.230874, -0.0958186
10, 1321451901, -0.230585, -0.092677
10, 1321456901, -0.230286, -0.092677
10, 1321461901, -0.229986, -0.0911062
10, 1321466901, -0.229707, -0.0895354
10, 1321471901, -0.229398, -0.0879646
10, 1321476901, -0.229088, -0.0863938
10, 1321481901, -0.228789, -0.0832522
10, 1321486901, -0.22848, -0.0816814
10, 1321491901, -0.228171, -0.0801106
10, 1321496901, -0.227871, -0.0785398
10, 1321501901, -0.227562, -0.076969
10, 1321506901, -0.227233, -0.0753982
10, 1321511901, -0.226914, -0.0738274
10, 1321516901, -0.226584, -0.0706858
10, 1321521901, -0.226255, -0.069115
10, 1321526901, -0.225936, -0.0675442
10, 1321531901, -0.225607, -0.0644026
10, 1321536901, -0.225277, -0.0628319
10, 1321541901, -0.224958, -0.0612611
10, 1321546901, -0.224639, -0.0581195
10, 1321551901, -0.22432, -0.0565487
10, 1321556901, -0.22399, -0.0549779
10, 1321561901, -0.223671, -0.0518363
10, 1321566901, -0.223352, -0.0502655
10, 1321571901, -0.223023, -0.0471239
10, 1321576901, -0.222704, -0.0455531
10, 1321581901, -0.222374, -0.0424115
10, 1321586901, -0.222055, -0.0408407
10, 1321591901, -0.221746, -0.0376991
10, 1321596901, -0.221427, -0.0361283
10, 1321601901, -0.221127, -0.0329867
10, 1321606901, -0.220808, -0.0314159
10, 1321611901, -0.220569, -0.0282743
10, 1321616901, -0.220269, -0.0267035
10, 1321621901, -0.21998, -0.0235619
10, 1321626901, -0.219691, -0.0204204
10, 1321631901, -0.219391, -0.0188496
10, 1321636901, -0.219092, -0.015708
10, 1321641901, -0.218803, -0.0125664
10, 1321646901, -0.218513, -0.0109956
10, 1321651901, -0.218234, -0.00785398
10, 1321656901, -0.217945, -0.00471239
10, 1321661901, -0.217665, -0.00314159
10, 1321666901, -0.217386, 0
10, 1321671901, -0.217087, 0.00314159
10, 1321676901, -0.216807, 0.00471239
10, 1321681901, -0.216518, 0.00785398
10, 1321686901, -0.216229, 0.0109956
10, 1321691901, -0.21594, 0.0125664
10, 1321696901, -0.21565, 0.015708
10, 1321701901, -0.215361, 0.0188496
10, 1321706901, -0.215072, 0.0204204
10, 1321711901, -0.214782, 0.0235619
10, 1321716901, -0.214473, 0.0251327
10, 1321721901, -0.214174, 0.0282743
10, 1321726901, -0.213864, 0.0314159
10, 1321731901, -0.213565, 0.0329867
10, 1321736901, -0.213266, 0.0361283
10, 1321741901, -0.212967, 0.0392699
10, 1321746901, -0.212667, 0.0408407
10, 1321751901, -0.212378, 0.0424115
10, 1321756901, -0.212079, 0.0455531
10, 1321761901, -0.211769, 0.0486947
10, 1321766901, -0.21148, 0.0502655
10, 1321771901, -0.211171, 0.0518363
10, 1321776901, -0.210871, 0.0549779
10, 1321781901, -0.210582, 0.0565487
10, 1321786901, -0.210293, 0.0596903
10, 1321791901, -0.209994, 0.0612611
10, 1321796901, -0.209694, 0.0644026
10, 1321801901, -0.209395, 0.0659734
10, 1321806901, -0.209086, 0.0675442
10, 1321811901, -0.208786, 0.069115
10, 1321816901, -0.208487, 0.0722566
10, 1321821901, -0.208198, 0.0738274
10, 1321826901, -0.207908, 0.0753982
10, 1321831901, -0.207629, 0.076969
10, 1321836901, -0.20734, 0.0785398
10, 1321841901, -0.20706, 0.0816814
10, 1321846901, -0.206781, 0.0832522
10, 1321851901, -0.206502, 0.084823
10, 1321856901, -0.206232, 0.0863938
10, 1321861901, -0.205963, 0.0879646
10, 1321866901, -0.205704, 0.0895354
10, 1321871901, -0.205434, 0.0911062
10, 1321876901, -0.205185, 0.092677
10, 1321881901, -0.204965, 0.0942478
10, 1321886901, -0.204706, 0.0958186
10, 1321891901, -0.204447, 0.0958186
10, 1321896901, -0.204177, 0.0973894
10, 1321901901, -0.203908, 0.0989602
10, 1321906901, -0.203649, 0.100531
10, 1321911901, -0.203379, 0.100531
10, 1321916901, -0.20311, 0.102102
10, 1321921901, -0.20284, 0.103673
10, 1321926901, -0.202561, 0.103673
10, 1321931901, -0.202262, 0.105243
10, 1321936901, -0.201973, 0.105243
10, 1321941901, -0.201693, 0.106814
10, 1321946901, -0.201394, 0.106814
10, 1321951901, -0.201105, 0.108385
10, 1321956901, -0.200805, 0.108385
10, 1321961901, -0.200496, 0.108385
10, 1321966901, -0.200197, 0.108385
10, 1321971901, -0.199877, 0.109956
10, 1321976901, -0.199578, 0.109956
10, 1321981901, -0.199289, 0.109956
10, 1321986901, -0.19899, 0.109956
10, 1321991901, -0.19868, 0.109956
10, 1321996901, -0.198371, 0.109956
10, 1322001901, -0.198062, 0.109956
10, 1322006901, -0.197743, 0.109956
10, 1322011901, -0.197453, 0.109956
10, 1322016901, -0.197144, 0.109956
10, 1322021901, -0.196835, 0.108385
10, 1322026901, -0.196515, 0.108385
10, 1322031901, -0.196196, 0.108385
10, 1322036901, -0.195867, 0.106814
10, 1322041901, -0.195568, 0.106814
10, 1322046901, -0.195268, 0.106814
10, 1322051901, -0.194959, 0.105243
10, 1322056901, -0.19465, 0.105243
10, 1322061901, -0.194341, 0.105243
10, 1322066901, -0.194041, 0.103673
10, 1322071901, -0.193752, 0.102102
10, 1322076901, -0.193473, 0.102102
10, 1322081901, -0.193193, 0.100531
10, 1322086901, -0.192904, 0.0989602
10, 1322091901, -0.192625, 0.0989602
10, 1322096901, -0.192335, 0.0973894
10, 1322101901, -0.192046, 0.0958186
10, 1322106901, -0.191767, 0.0958186
10, 1322111901, -0.191477, 0.0942478
10, 1322116901, -0.191188, 0.092677
10, 1322121901, -0.190899, 0.0911062
10, 1322126901, -0.190599, 0.0895354
10, 1322131901, -0.1903, 0.0879646
10, 1322136901, -0.190011, 0.0863938
10, 1322141901, -0.189712, 0.084823
10, 1322146901, -0.189472, 0.0832522
10, 1322151901, -0.189173, 0.0816814
10, 1322156901, -0.188864, 0.0801106
10, 1322161901, -0.188554, 0.0785398
10, 1322166901, -0.188245, 0.076969
10, 1322171901, -0.187926, 0.0738274
10, 1322176901, -0.187597, 0.0722566
10, 1322181901, -0.187277, 0.0706858
10, 1322186901, -0.186958, 0.069115
10, 1322191901, -0.186639, 0.0659734
10, 1322196901, -0.18631, 0.0644026
10, 1322201901, -0.18597, 0.0612611
10, 1322206901, -0.185641, 0.0596903
10, 1322211901, -0.185322, 0.0581195
10, 1322216901, -0.184993, 0.0549779
10, 1322221901, -0.184673, 0.0534071
10, 1322226901, -0.184344, 0.0502655
10, 1322231901, -0.184025, 0.0486947
10, 1322236901, -0.183696, 0.0455531
10, 1322241901, -0.183376, 0.0439823
10, 1322246901, -0.183057, 0.0408407
10, 1322251901, -0.182728, 0.0392699
