#{"t_start": 1634175318.8095953, "env_id": null}
r,l,t
-14.049581,800,0.92766
-403.850076,30,2.292032
-403.646332,150,2.503988
24.612169,800,3.774561
-2.570299,800,6.015648
27.982634,800,8.24449
72.45711,800,10.448759
-386.544051,141,11.917793
130.163998,800,20.993783
-380.644995,176,22.47947
117.639156,800,23.602996
168.313797,800,25.699846
-144.592369,739,27.824151
248.013801,800,29.922534
367.922149,800,32.208998
289.982926,800,44.436823
250.495475,800,46.627839
163.579668,800,48.826901
-303.416656,429,50.60489
384.187355,800,52.199418
320.011546,800,54.417508
-281.726791,300,56.069761
359.970165,800,57.492328
-182.282788,489,62.348517
-346.556508,170,63.362221
408.313304,800,64.566476
403.69899,800,66.866118
410.119183,800,69.149155
403.808643,800,71.43628
403.832889,800,73.621676
-337.258901,172,75.182429
-363.058055,128,75.61568
-353.958939,199,76.018353
-346.040447,165,81.341824
402.10515,800,82.524069
-336.363833,184,84.050945
348.371222,800,85.224779
398.67846,800,87.50915
342.247627,800,89.779155
381.327564,800,92.02909
402.253393,800,102.27125
-402.244675,18,103.663846
-127.928739,535,104.303144
-281.021023,283,105.540277
-224.412488,383,106.451059
-336.342231,198,107.3295
-329.684962,196,107.886312
-121.455501,536,108.839297
-299.2296,233,110.020174
-330.06167,190,110.622298
-312.794254,227,111.196035
-222.822583,392,112.035253
-341.550981,175,112.889344
-323.817124,199,113.404838
-328.538369,210,113.963432
-302.660748,266,114.620595
353.831322,800,116.028212
345.900065,800,130.597924
397.997893,800,132.917428
390.332766,800,135.183944
393.062108,800,137.437108
411.29515,800,139.737774
432.4013,800,142.023517
415.239184,800,153.564266
387.457185,800,155.906808
363.666776,800,158.215073
346.280492,800,160.526188
378.677243,800,162.757807
395.707918,800,165.004053
391.121531,800,178.093312
394.060469,800,180.430704
446.86402,800,182.701074
419.638104,800,184.987228
470.806421,800,187.242578
516.950667,800,189.582422
535.116178,800,201.270395
515.520897,800,203.508585
525.572408,800,205.767343
546.554632,800,208.093516
530.850191,800,210.397998
520.065451,800,212.675748
520.936117,800,214.981271
557.963243,800,225.704648
528.920288,800,227.949607
550.863407,800,230.220679
543.027361,800,232.470766
585.909197,800,234.764968
626.251871,800,237.073265
610.32022,800,248.595458
644.446428,800,250.95001
670.09725,800,253.268668
715.401015,800,255.706165
680.840258,800,258.137611
699.780718,800,260.648989
649.345722,800,276.697352
645.621146,800,279.124326
653.816432,800,281.495295
716.54836,800,283.961295
659.28324,800,286.378289
721.063081,800,288.849647
667.07619,800,302.322232
712.958281,800,304.748697
703.317377,800,307.158495
710.827611,800,309.568132
704.618317,800,311.953408
689.795069,800,314.440765
708.640116,800,316.840714
702.461999,800,329.564461
691.834668,800,332.040125
638.452227,800,334.483249
659.458421,800,336.911481
716.937396,800,339.348186
689.714014,800,341.764071
709.955879,800,353.409326
674.672939,800,355.708053
649.29998,800,357.998682
686.497368,800,360.249295
636.321616,800,362.508404
714.33082,800,364.818476
661.675587,800,376.703665
-119.144741,392,378.471003
674.545328,800,380.085927
712.101438,800,382.372139
655.513751,800,384.584512
700.910533,800,386.815098
699.252023,800,389.102319
645.005382,800,400.603963
706.762831,800,402.88018
715.575875,800,405.181301
707.797528,800,407.508464
694.406536,800,409.82869
232.852979,730,412.105104
701.31598,800,424.757619
666.370071,800,427.093145
697.536882,800,429.497882
697.131918,800,431.874235
694.678175,800,434.179822
701.165106,800,436.500232
712.805695,800,448.176486
693.310637,800,450.491931
722.438674,800,452.790632
705.153947,800,455.169276
-44.329632,440,457.052732
670.299778,800,458.796277
711.160744,800,461.132082
709.309605,800,472.15948
687.369338,800,474.550313
709.186195,800,476.909527
700.333342,800,479.193885
701.435434,800,481.468349
692.003102,800,483.846793
708.188696,800,495.666463
703.518812,800,498.072079
705.120342,800,500.511493
693.092823,800,502.819546
695.781137,800,505.246751
670.30631,800,507.655564
714.093561,800,510.016292
705.682804,800,521.409441
702.738233,800,523.735388
679.884865,800,526.011574
708.766195,800,528.370152
684.493798,800,530.705007
726.098133,800,533.084896
692.835593,800,544.420715
708.28345,800,546.679202
682.957445,800,548.998325
635.621542,800,551.287355
717.77411,800,553.579651
718.491258,800,556.025174
707.076202,800,567.242154
674.487553,800,569.618398
665.998782,800,571.971956
701.980236,800,574.233456
683.887578,800,576.556537
692.209207,800,578.939562
701.725908,800,590.978687
712.898529,800,593.329006
721.293955,800,595.637674
691.940027,800,597.985694
714.700762,800,600.286002
681.524589,800,602.563018
707.549232,800,604.852205
684.139555,800,616.663816
704.847209,800,618.97108
679.690658,800,621.314869
677.834489,800,623.7052
682.298032,800,625.998413
660.094807,800,628.256442
704.355874,800,643.98852
123.274824,648,646.068978
702.180605,800,648.175329
672.171985,800,650.493644
715.59197,800,652.739403
692.933437,800,655.135088
656.548957,800,667.678896
677.879296,800,670.1055
704.071775,800,672.479967
-278.902458,204,674.097402
680.453994,800,675.343852
687.869858,800,677.663255
686.992264,800,680.026188
676.325097,800,694.058226
708.169716,800,696.341746
675.341539,800,698.613126
-35.158688,443,700.494829
708.437798,800,702.275043
712.878306,800,704.538527
687.282653,800,706.840003
719.427136,800,718.161307
