#{"t_start": 1634176038.3450956, "env_id": null}
r,l,t
-14.049581,800,0.927408
-403.850076,30,2.30027
-403.646332,150,2.518813
24.612169,800,3.780146
-2.570299,800,6.04029
27.982634,800,8.280997
72.45711,800,10.480133
-386.544051,141,11.935983
130.163998,800,20.97214
-380.644995,176,22.475472
117.639156,800,23.606062
168.313797,800,25.706463
-144.592369,739,27.826747
248.013801,800,29.945229
367.922149,800,32.222965
289.982926,800,45.169942
250.495475,800,47.429812
163.579668,800,49.710051
-303.416656,429,51.530566
384.187355,800,53.143819
320.011546,800,55.417952
-281.726791,300,57.099753
359.970165,800,58.490536
-182.282788,489,63.211826
-346.556508,170,64.237009
408.313304,800,65.377594
403.69899,800,67.637294
410.119183,800,69.919549
403.808643,800,72.229129
403.832889,800,74.472013
-337.258901,172,75.988448
-363.058055,128,76.411145
-353.958939,199,76.799848
-346.040447,165,81.941566
402.10515,800,83.113539
-336.363833,184,84.645255
348.371222,800,85.804799
398.67846,800,88.085562
342.247627,800,90.354972
381.327564,800,92.598295
402.253393,800,102.760168
-402.244675,18,104.118104
-127.928739,535,104.752807
-281.021023,283,105.96999
-224.412488,383,106.86734
-336.342231,198,107.721327
-329.684962,196,108.27107
-121.455501,536,109.214449
-299.2296,233,110.367083
-330.06167,190,110.962099
-312.794254,227,111.528191
-222.822583,392,112.35642
-341.550981,175,113.197654
-323.817124,199,113.708612
-328.538369,210,114.241962
-302.660748,266,114.865178
353.831322,800,116.192289
345.900065,800,129.682532
397.997893,800,131.89441
390.332766,800,134.055055
393.062108,800,136.209898
411.29515,800,138.394553
432.4013,800,140.567234
415.239184,800,152.1152
387.457185,800,154.403733
363.666776,800,156.698397
346.280492,800,158.947584
378.677243,800,161.126868
395.707918,800,163.324584
391.121531,800,176.613786
394.060469,800,178.96654
446.86402,800,181.247904
419.638104,800,183.552508
470.806421,800,185.828887
516.950667,800,188.192173
535.116178,800,200.424914
515.520897,800,202.828223
525.572408,800,205.060108
546.554632,800,207.292529
530.850191,800,209.495835
520.065451,800,211.69527
520.936117,800,213.913922
557.963243,800,224.099956
528.920288,800,226.251406
550.863407,800,228.430822
543.027361,800,230.593417
585.909197,800,232.796776
626.251871,800,235.037074
610.32022,800,246.327111
644.446428,800,248.615746
670.09725,800,250.872433
715.401015,800,253.247797
680.840258,800,255.627602
699.780718,800,257.993408
649.345722,800,273.076655
645.621146,800,275.519852
653.816432,800,277.907495
716.54836,800,280.401845
659.28324,800,282.849878
721.063081,800,285.321621
667.07619,800,299.262293
712.958281,800,301.726811
703.317377,800,304.179362
710.827611,800,306.647377
704.618317,800,309.071113
689.795069,800,311.517895
708.640116,800,313.880014
702.461999,800,325.579237
691.834668,800,327.910008
638.452227,800,330.198385
659.458421,800,332.48643
716.937396,800,334.776309
689.714014,800,337.054114
709.955879,800,349.309695
674.672939,800,351.703178
649.29998,800,354.069564
686.497368,800,356.32323
636.321616,800,358.581303
714.33082,800,360.962437
661.675587,800,373.418442
-119.144741,392,375.251922
674.545328,800,376.946577
712.101438,800,379.33016
655.513751,800,381.621548
700.910533,800,383.936588
699.252023,800,386.323472
645.005382,800,398.454046
706.762831,800,400.825882
715.575875,800,403.136693
707.797528,800,405.461843
694.406536,800,407.784873
232.852979,730,410.060039
701.31598,800,422.290146
666.370071,800,424.630501
697.536882,800,427.042069
697.131918,800,429.425989
694.678175,800,431.710111
701.165106,800,434.034211
712.805695,800,446.115491
693.310637,800,448.382254
722.438674,800,450.621915
705.153947,800,452.928248
-44.329632,440,454.787681
670.299778,800,456.496269
711.160744,800,458.822793
709.309605,800,469.544752
687.369338,800,471.942774
709.186195,800,474.316109
700.333342,800,476.684344
701.435434,800,479.045702
692.003102,800,481.423305
708.188696,800,492.725403
703.518812,800,495.083324
705.120342,800,497.516087
693.092823,800,499.823874
695.781137,800,502.215814
670.30631,800,504.584841
714.093561,800,506.896815
705.682804,800,517.88415
702.738233,800,520.223653
679.884865,800,522.496828
708.766195,800,524.852437
684.493798,800,527.197872
726.098133,800,529.549988
692.835593,800,541.090508
708.28345,800,543.395689
682.957445,800,545.765863
635.621542,800,548.057617
717.77411,800,550.32406
718.491258,800,552.743384
707.076202,800,563.583929
674.487553,800,565.931866
665.998782,800,568.278356
701.980236,800,570.557667
683.887578,800,572.820683
692.209207,800,575.124786
701.725908,800,587.13321
712.898529,800,589.528728
721.293955,800,591.838614
691.940027,800,594.163892
714.700762,800,596.449589
681.524589,800,598.726953
707.549232,800,601.028236
684.139555,800,612.585193
704.847209,800,614.909452
679.690658,800,617.269893
677.834489,800,619.667396
682.298032,800,621.966988
660.094807,800,624.24777
704.355874,800,639.382536
123.274824,648,641.486013
702.180605,800,643.597659
672.171985,800,645.919185
715.59197,800,648.11045
692.933437,800,650.392311
656.548957,800,662.869454
677.879296,800,665.197175
704.071775,800,667.506123
-278.902458,204,669.083385
680.453994,800,670.28854
687.869858,800,672.538429
686.992264,800,674.90642
676.325097,800,689.721861
708.169716,800,692.022616
675.341539,800,694.287396
-35.158688,443,696.161459
708.437798,800,697.962837
712.878306,800,700.250795
687.282653,800,702.576898
719.427136,800,714.266618
