#{"t_start": 1634164762.3184645, "env_id": null}
r,l,t
-13.810634,800,0.933726
-403.757084,32,2.328692
33.724737,800,3.205457
-15.104669,800,5.496399
37.330781,800,7.859905
314.626446,800,10.125389
389.284007,800,12.326688
-327.155088,254,16.035511
-331.680577,232,16.755963
-312.887389,268,17.455874
-310.758408,323,18.287159
362.058943,800,19.739803
364.699811,800,22.102597
301.274597,800,24.441523
341.288821,800,26.768385
317.980666,800,29.102646
367.567729,800,37.162845
-346.10613,198,38.787218
375.210428,800,40.095325
328.262546,800,42.346857
348.106782,800,44.603934
398.054913,800,46.825755
-346.477595,153,48.317528
-331.327428,186,48.771122
-345.311711,164,49.254932
425.090962,800,55.600748
-347.942444,166,57.146154
-300.708031,276,57.726815
-275.923038,304,58.520679
-316.222708,233,59.278004
389.761054,800,60.552469
382.440972,800,62.844938
415.99378,800,65.110059
446.254942,800,67.40245
399.599249,800,78.737011
384.411847,800,81.150449
396.077841,800,83.464552
369.07536,800,85.815262
401.028618,800,88.134941
423.338874,800,90.401869
442.194921,800,95.888787
625.426104,800,98.214473
-290.216458,204,99.756631
-150.103453,360,100.557547
-11.420195,509,101.798031
719.943549,800,103.622719
646.327623,800,105.807148
716.267363,800,108.115973
704.659342,800,119.78407
677.481365,800,122.057242
706.601812,800,124.374141
710.15398,800,126.724264
717.090144,800,129.026756
724.593435,800,131.356066
726.759329,800,143.696462
674.485472,800,146.0794
690.171213,800,148.435144
709.507358,800,150.846444
715.766408,800,153.29327
667.854234,800,155.665927
733.533503,800,158.091391
720.43027,800,170.453205
689.430646,800,172.831975
700.360599,800,175.254392
683.737696,800,177.637637
699.59862,800,180.086535
703.553864,800,182.433686
692.931652,800,195.767543
702.406596,800,198.143899
704.147699,800,200.599925
709.405467,800,203.015153
697.240734,800,205.36006
692.125785,800,207.700514
701.291852,800,219.844553
725.98354,800,222.249498
697.722646,800,224.542566
-371.354815,92,225.946429
715.407953,800,227.055249
723.179039,800,229.323158
723.112495,800,231.573133
680.134927,800,243.894494
700.668961,800,246.104785
691.087757,800,248.352645
682.963083,800,250.582555
700.681595,800,252.811189
683.045009,800,255.034642
724.689097,800,257.265811
699.670579,800,268.386829
701.557905,800,270.647744
694.709875,800,272.887019
662.818347,800,275.170732
725.14723,800,277.379306
694.876486,800,279.688417
701.890016,800,292.899189
713.886755,800,295.345582
707.626221,800,297.676037
692.880743,800,299.972297
703.371948,800,302.339269
701.494701,800,304.741868
687.811605,800,316.861163
666.981341,800,319.205504
655.484929,800,321.564665
-4.667876,487,323.551077
692.999167,800,325.297204
686.521482,800,327.629149
668.137183,800,329.994606
642.886294,800,342.607025
-128.971927,383,344.424737
74.256659,577,345.731761
670.479309,800,347.694979
473.289731,800,349.995256
625.623088,800,352.262926
-327.899216,153,353.758134
-119.841832,387,354.432248
667.959302,800,364.638915
646.148072,800,366.850256
-45.842841,465,368.779161
668.628705,800,370.485027
-131.471532,382,372.238639
666.304408,800,373.792764
9.160858,530,375.722437
702.5973,800,377.488124
661.98402,800,387.961949
675.955964,800,390.191137
700.907084,800,392.408856
677.453465,800,394.592317
701.761059,800,396.76676
688.136669,800,398.984126
692.233065,800,409.688534
706.439542,800,411.914995
687.469975,800,414.256054
710.836336,800,416.583425
702.022742,800,419.031051
703.896316,800,421.276226
691.550048,800,434.50597
678.293213,800,436.696241
721.072043,800,439.012243
687.927075,800,441.312041
727.195323,800,443.683888
693.412079,800,445.962358
693.538269,800,458.667158
710.307588,800,460.96759
687.151477,800,463.265418
706.282898,800,465.521596
-362.257346,113,466.951022
50.859665,539,467.794633
677.129174,800,469.549232
661.168728,800,471.729568
683.875603,800,485.301175
210.463439,715,487.525803
632.946642,800,489.661155
676.08003,800,491.989978
668.798901,800,494.320784
686.987427,800,496.552266
697.001383,800,508.835465
677.541484,800,511.083164
9.98726,519,512.994409
710.411152,800,514.817736
690.421715,800,517.027175
691.822106,800,519.316256
693.045706,800,521.571375
722.382186,800,532.039143
2.294022,488,533.907798
686.461153,800,535.824671
688.661471,800,538.166231
688.152248,800,540.547457
713.86644,800,542.906588
688.992387,800,558.224355
693.396895,800,560.539836
696.413317,800,562.878677
658.274342,800,565.176944
695.176702,800,567.585938
675.705363,800,569.918629
67.913066,555,571.996177
670.388383,800,583.975269
677.894639,800,586.245839
694.824154,800,588.692641
665.503745,800,591.0139
661.773969,800,593.156193
671.917769,800,595.366257
691.544876,800,606.797394
645.966601,800,609.007095
-197.413267,285,610.615908
673.974426,800,611.935316
679.195758,800,614.16537
659.461306,800,616.347955
668.788441,800,618.544556
685.446016,800,628.490938
693.090423,800,630.662555
695.450961,800,632.825675
717.934261,800,635.018175
689.906661,800,637.220093
665.283691,800,639.397713
677.381491,800,650.192136
-184.10166,330,651.888481
-150.301566,339,652.774755
654.610117,800,654.217473
648.758717,800,656.473085
688.593159,800,658.74485
248.052933,777,661.075991
-55.395269,435,662.862978
646.52903,800,673.114064
669.244111,800,675.42765
656.973821,800,677.729339
678.173745,800,679.935357
671.506615,800,682.269821
684.294551,800,684.492424
661.552618,800,695.157222
