#{"t_start": 1634169021.2965107, "env_id": null}
r,l,t
-0.78432,800,0.910778
-383.52404,303,2.548963
-392.31039,155,3.217619
-389.313682,152,3.641046
-377.147157,170,4.055611
-261.100104,552,4.880918
-135.445735,590,6.450487
-346.005538,250,7.696934
-351.814539,168,8.284527
246.403028,800,9.505825
368.721234,800,11.778188
362.666045,800,22.98738
400.998823,800,25.279937
357.592147,800,27.568415
373.613942,800,29.92471
-304.507937,302,31.648072
-330.603726,241,32.456102
-23.62944,759,33.742735
362.71368,800,40.947568
-339.010891,226,42.600496
383.124539,800,43.946123
349.777254,800,46.31157
378.052143,800,48.684586
433.560298,800,50.974414
-152.886774,442,52.828883
-178.086904,367,53.9502
-343.931772,265,54.845926
-312.334794,229,55.546922
-237.617347,314,59.04601
-234.784235,360,59.97977
-179.904226,350,60.999163
-302.470375,241,61.859268
590.099737,800,63.263932
-150.315832,726,65.519503
234.425886,798,67.731811
672.159324,800,70.096933
175.459499,713,72.321545
680.263808,800,86.08323
655.807308,800,88.502254
703.94907,800,90.868212
711.122842,800,93.232198
681.867302,800,95.596459
697.194288,800,97.966327
703.47615,800,110.477307
687.965071,800,112.845726
702.26697,800,115.229403
691.066675,800,117.559945
704.627729,800,119.935812
717.633138,800,122.316975
705.546475,800,134.511306
726.232571,800,136.812378
696.63757,800,139.122141
689.917609,800,141.488346
694.468802,800,143.857886
715.338101,800,146.272252
708.113919,800,159.000384
697.592068,800,161.313199
693.618698,800,163.617065
680.483603,800,166.012219
708.852971,800,168.448585
721.569081,800,170.839643
715.335992,800,173.259998
717.850866,800,185.558631
699.823765,800,188.006344
-402.112585,39,189.411535
689.239953,800,190.531053
695.822148,800,192.88011
707.472679,800,195.275417
695.952855,800,197.643309
713.945687,800,209.119153
689.812916,800,211.590092
663.7789,800,213.954921
709.194079,800,216.274205
726.363504,800,218.794162
704.072298,800,221.149358
697.923804,800,235.131553
695.458365,800,237.494184
696.540293,800,239.874239
677.336713,800,242.246755
673.307137,800,244.58028
663.333276,800,246.901552
680.752235,800,260.104508
715.244324,800,262.485502
718.671242,800,264.863958
707.350322,800,267.21108
714.222229,800,269.618603
710.016331,800,271.996138
683.22227,800,274.272061
692.704235,800,286.463618
705.598372,800,288.785539
680.059174,800,291.098989
702.272478,800,293.395971
688.131388,800,295.710063
713.42218,800,298.048579
713.688859,800,310.568529
647.149643,800,312.928061
687.996753,800,315.232936
710.447891,800,317.56137
712.240698,800,319.92425
722.488224,800,322.232325
652.655947,800,333.3737
675.832953,800,335.64259
707.35617,800,338.000277
687.798472,800,340.351196
687.140298,800,342.661976
673.048104,800,345.013969
674.361993,800,358.102257
675.453211,800,360.747954
676.377989,800,363.349986
715.744609,800,366.043281
702.518501,800,368.718813
686.161288,800,371.401491
683.103161,800,374.045988
735.904459,800,388.949253
674.943573,800,391.242385
672.040879,800,393.588768
664.994141,800,395.953845
701.159973,800,398.231726
680.33563,800,400.556467
670.620016,800,411.725357
691.788635,800,414.074516
703.088536,800,416.510749
680.454996,800,418.807412
641.503782,800,421.126096
695.792249,800,423.486156
731.47222,800,436.263054
663.139835,800,438.558643
679.455474,800,440.802462
713.561178,800,443.119327
679.092653,800,445.434787
690.20495,800,447.709252
687.694363,800,458.403214
712.946588,800,460.769782
700.175714,800,462.998315
670.024814,800,465.20768
687.763128,800,467.52861
22.718087,509,469.471668
689.552248,800,471.411799
671.962258,800,482.415848
729.210973,800,484.859383
732.083646,800,487.276248
696.597487,800,489.601222
652.430519,800,491.844901
711.980888,800,494.124309
693.210263,800,507.598394
707.77606,800,509.8661
670.309285,800,512.071733
685.718135,800,514.331048
666.705125,800,516.537311
698.775103,800,518.904283
674.972553,800,531.358171
676.070427,800,533.71538
677.018717,800,536.11401
707.629655,800,538.546094
714.31677,800,541.059209
697.680526,800,543.391153
724.707878,800,545.887122
680.462825,800,559.911405
698.114034,800,562.352429
688.853582,800,564.724492
664.567033,800,566.953971
679.597677,800,569.195205
670.03554,800,571.540334
678.864112,800,585.583533
683.765649,800,587.883479
657.99,800,590.150745
682.985292,800,592.497841
673.660974,800,594.828196
99.071934,621,596.912857
718.180235,800,608.378239
671.654859,800,610.658256
702.875651,800,612.980622
-132.398685,343,614.701456
672.399494,800,616.204018
687.902585,800,618.497201
705.733796,800,620.705646
687.565375,800,632.329857
690.177942,800,634.571989
685.597035,800,637.049904
708.423312,800,639.468282
689.911938,800,641.853107
657.00518,800,644.125968
679.839815,800,646.501538
629.615634,800,659.262671
662.483045,800,661.561339
704.050382,800,663.86692
688.998577,800,666.321709
698.623711,800,668.670113
655.565234,800,671.033689
681.792172,800,683.796293
678.408856,800,686.136647
670.352199,800,688.509268
669.888667,800,690.940012
712.834911,800,693.398488
725.332118,800,695.740566
705.325591,800,711.99961
693.822356,800,714.408479
690.105678,800,716.768027
694.591657,800,719.127447
692.031793,800,721.467691
694.587845,800,723.741459
685.564527,800,736.499323
