#{"t_start": 1634180983.5107212, "env_id": null}
r,l,t
-423.275253,577,0.790442
-419.226108,295,2.156199
-401.855958,141,2.807878
-26.236619,800,3.923726
-410.707432,619,6.011115
-397.016894,381,7.524319
8.448991,800,9.117719
-400.995455,108,10.611805
-394.49917,516,11.442927
-19.167796,800,21.941608
23.744123,800,24.130665
60.049025,800,26.265023
93.087614,800,28.394498
80.261672,800,30.543026
80.604267,800,32.686491
99.883507,800,34.892336
81.139491,800,45.244439
89.928205,800,47.421464
320.329056,800,49.619516
164.558611,800,51.81942
365.1251,800,54.024172
294.767173,800,56.188759
386.066457,800,66.240719
343.3866,800,68.520952
401.736308,800,70.793218
338.208939,800,73.033103
-294.297778,287,74.681767
-110.501263,677,75.960469
327.423752,800,77.921568
355.845834,800,84.239235
343.984388,800,86.496796
350.862618,800,88.808807
395.891568,800,91.094998
310.423123,800,93.38084
403.497465,800,95.681506
391.20548,800,107.785957
385.181268,800,110.090259
-246.992053,375,111.827844
399.585507,800,113.331561
398.367508,800,115.557054
398.923406,800,117.738019
383.437821,800,119.972962
-253.866591,378,121.705991
398.063491,800,134.087908
382.23152,800,136.309463
387.970043,800,138.581707
384.165253,800,140.840811
387.646249,800,143.190518
384.870541,800,145.524558
399.646493,800,157.825147
-317.341577,204,159.407722
416.165364,800,160.701431
-344.62385,172,162.244057
357.476409,800,163.476015
386.460364,800,165.747105
411.950869,800,167.96979
422.862353,800,170.209144
401.543955,800,182.887902
396.755725,800,185.194729
397.03694,800,187.480474
378.937315,800,189.725185
392.542085,800,192.057887
413.81367,800,194.285758
422.826806,800,205.544678
447.933331,800,207.816677
455.955058,800,210.080436
400.063216,800,212.354452
395.225528,800,214.596747
459.996037,800,216.864506
477.632459,800,227.19088
480.982049,800,229.378072
478.893874,800,231.542488
492.649453,800,233.695092
502.684653,800,235.884267
475.751887,800,238.083814
499.169573,800,248.403117
529.856378,800,250.594554
518.10651,800,252.79899
502.566225,800,255.028636
543.540795,800,257.277351
538.729381,800,259.458773
572.490166,800,261.722929
622.421963,800,273.310148
561.809102,800,275.670128
571.790277,800,278.016808
599.774253,800,280.382695
620.34274,800,282.678657
633.842199,800,284.909001
643.996741,800,295.641316
626.392353,800,297.867955
642.465009,800,300.101427
697.259802,800,302.362506
725.24264,800,304.672014
680.300682,800,307.068173
562.333342,800,318.646946
661.952511,800,321.037077
713.296796,800,323.452966
635.129883,800,325.753802
690.877497,800,328.089257
696.305371,800,330.475008
698.123894,800,342.224279
691.960383,800,344.645179
717.598857,800,347.047169
-264.428807,225,348.61905
683.713575,800,349.943073
676.81829,800,352.193161
714.877422,800,354.516892
713.49761,800,365.279865
-40.841011,433,367.130278
721.644881,800,368.812878
716.237941,800,371.228232
690.496453,800,373.555095
723.09859,800,375.914099
718.30889,800,378.20996
682.186583,800,392.239236
701.828833,800,394.601038
697.884776,800,396.942958
691.558241,800,399.251591
700.608427,800,401.568741
-100.190617,396,403.467836
687.625366,800,405.169453
696.315936,800,417.229531
697.691725,800,419.569721
229.500814,750,421.853717
652.654975,800,424.020051
-273.730759,220,425.58589
-261.962613,223,426.180158
645.208445,800,427.513027
682.41858,800,429.697674
679.173025,800,440.534118
668.378745,800,442.788085
664.57316,800,444.947543
633.76738,800,447.261239
161.398787,673,449.405048
664.556135,800,451.54266
659.142749,800,461.707044
667.414974,800,463.971268
665.16236,800,466.323528
704.802522,800,468.706134
679.895122,800,470.972543
-393.523247,96,472.438909
666.267155,800,473.467062
629.419604,800,485.370944
665.253515,800,487.745584
684.582528,800,490.100215
647.729846,800,492.38994
695.688719,800,494.673477
697.234551,800,496.985175
675.557534,800,508.546883
645.943182,800,510.735671
671.020599,800,512.910858
-400.649785,39,514.267829
652.492943,800,515.221828
678.985951,800,517.47276
642.117892,800,519.692491
658.637451,800,521.892437
663.220935,800,532.633294
713.297799,800,534.888885
690.292105,800,537.164518
698.084917,800,539.313345
732.500764,800,541.635905
696.604679,800,543.873523
678.758722,800,556.978399
-246.279492,235,558.549325
677.829769,800,559.808455
701.920122,800,562.009378
691.475359,800,564.219975
699.186479,800,566.509304
697.814878,800,568.742022
699.276376,800,582.79839
672.239211,800,584.978573
656.33001,800,587.121675
686.039817,800,589.358995
644.939219,800,591.551239
665.365507,800,593.731711
690.15535,800,604.783405
674.742438,800,607.23163
673.046642,800,609.481027
693.200715,800,611.848639
658.077119,800,614.172126
711.177596,800,616.553289
703.363948,800,629.67609
678.738804,800,632.078891
693.378895,800,634.364985
709.097298,800,636.768069
690.551439,800,639.072737
657.492452,800,641.421185
688.730731,800,652.383507
691.296711,800,654.662619
663.089515,800,656.945376
642.784169,800,659.17473
661.190536,800,661.391957
642.482402,800,663.608137
696.281368,800,665.965676
-13.057025,490,677.278355
627.385316,800,678.991052
677.989151,800,681.315906
653.216772,800,683.534203
694.225066,800,685.855875
698.182528,800,688.130464
673.984071,800,698.563104
