#{"t_start": 1634160663.118533, "env_id": null}
r,l,t
-22.517413,800,0.563076
-401.213739,138,2.016093
-396.391265,135,2.352793
-398.371925,119,2.680268
-390.591844,282,3.105952
40.807146,800,4.22576
132.879787,800,6.155163
-400.966041,83,7.547293
244.145589,800,8.289881
-400.231993,51,9.680507
-281.52932,508,10.158082
-378.339097,163,11.143313
-373.876177,162,11.55794
-341.460376,235,13.016993
-257.13093,395,13.736868
-322.56864,349,14.696502
-372.934313,164,15.426914
-300.994725,314,15.943005
-368.938816,152,16.582747
376.391987,800,17.449847
367.409325,800,19.437174
386.987166,800,21.430513
407.465226,800,23.421671
340.35065,800,31.464652
385.461747,800,33.480494
-324.328141,232,35.009248
-274.432516,342,35.671207
-112.078737,667,36.786466
-298.37307,287,38.10907
343.506757,800,39.189933
330.036516,800,41.090726
382.779758,800,49.262366
374.873249,800,51.222086
390.39857,800,53.142218
399.374738,800,55.088956
401.990274,800,57.021703
493.936735,800,58.925273
425.550648,800,60.839329
423.501781,800,68.681501
427.012328,800,70.617768
448.838036,800,72.534679
499.895027,800,74.458723
465.253639,800,76.380572
552.605519,800,78.310303
533.267154,800,86.35602
588.251992,800,88.342832
589.829002,800,90.345187
629.204575,800,92.344234
629.005703,800,94.340169
642.408665,800,96.341853
667.252691,800,104.673697
675.507078,800,106.696135
680.103615,800,108.70739
678.367567,800,110.708535
247.421352,788,112.705934
711.911196,800,114.699455
689.753867,800,122.76307
615.218438,800,124.757423
158.633686,650,126.646047
690.221939,800,128.39407
674.844961,800,130.334906
698.858745,800,132.328419
687.951029,800,134.287458
701.561257,800,142.537709
715.002798,800,144.575062
-65.565101,412,146.280322
688.129289,800,147.639307
692.426301,800,149.657371
710.478468,800,151.678102
692.947195,800,160.175727
673.85426,800,162.174019
721.200613,800,164.166316
674.027403,800,166.164774
670.042358,800,168.173243
715.63403,800,170.173034
679.295317,800,172.229572
680.602599,800,180.666391
726.690147,800,182.622568
725.509859,800,184.576496
725.817534,800,186.528214
705.266522,800,188.48495
712.213135,800,190.446574
684.771516,800,198.547199
709.560512,800,200.496678
724.713212,800,202.503645
693.965242,800,204.517219
686.816976,800,206.533737
690.545175,800,208.54149
669.632548,800,216.963728
692.003448,800,219.02297
712.664321,800,221.07718
712.514923,800,223.091312
684.921627,800,225.109429
703.957804,800,227.112331
711.628668,800,235.594112
684.656468,800,237.541421
696.071829,800,239.492235
673.569013,800,241.417156
692.344847,800,243.359239
688.992644,800,245.336278
689.363011,800,247.33002
674.341741,800,255.59953
705.290311,800,257.567563
677.989678,800,259.511917
696.244249,800,261.48739
-196.117846,272,263.034513
13.447043,527,263.913557
717.569484,800,265.485661
693.397905,800,273.820286
709.254023,800,275.891891
710.159224,800,277.95055
689.233418,800,280.013487
-401.54087,37,281.435581
701.640258,800,282.177287
690.24402,800,284.237198
-264.590853,240,285.815704
191.913853,715,293.455638
697.078788,800,295.36237
687.52452,800,297.409517
704.248509,800,299.448878
696.83444,800,301.525428
662.311247,800,303.57131
690.470136,800,312.076081
699.181674,800,314.137048
691.702466,800,316.181639
698.20748,800,318.228158
696.598883,800,320.2775
72.928903,561,322.129186
714.751967,800,323.777879
677.328974,800,332.583182
672.003684,800,334.63536
681.606378,800,336.677367
690.549559,800,338.687477
688.451029,800,340.68693
692.801671,800,342.649466
682.529181,800,350.707228
718.509569,800,352.66745
691.754416,800,354.617616
665.305572,800,356.558129
657.048855,800,358.504096
-333.723015,134,359.931604
701.620898,800,360.773196
691.332051,800,368.303481
727.622874,800,370.278728
717.73968,800,372.241112
716.523456,800,374.184675
665.334811,800,376.124019
722.081742,800,378.075955
697.934197,800,385.939621
684.429829,800,387.892031
707.061776,800,389.831031
669.410324,800,391.768915
672.520216,800,393.704488
663.07586,800,395.642933
670.064592,800,397.57806
203.267101,730,405.639406
678.021211,800,407.466059
695.088683,800,409.410756
681.120274,800,411.354381
698.948063,800,413.299888
698.016019,800,415.232752
714.568558,800,423.421068
705.291715,800,425.380645
658.009824,800,427.320072
682.520886,800,429.271554
697.820119,800,431.223915
696.401835,800,433.168813
690.145945,800,440.720222
692.64489,800,442.674924
689.894321,800,444.623764
689.722205,800,446.574459
688.159703,800,448.505973
669.451001,800,450.440795
683.352876,800,458.520118
692.274959,800,460.517598
650.909827,800,462.517359
-399.680356,40,463.929667
700.135764,800,464.621635
673.456258,800,466.642748
659.603762,800,468.658205
-49.464621,446,470.385775
695.383687,800,477.885342
685.193381,800,479.931344
685.435249,800,481.955598
668.727222,800,483.971562
687.321033,800,486.006122
668.891817,800,488.010202
-284.305364,188,489.50334
699.576248,800,496.769148
701.08174,800,498.79933
700.173107,800,500.784924
684.950887,800,502.790134
693.768762,800,504.8054
700.312413,800,506.81805
696.827897,800,515.076375
700.631742,800,517.038127
704.145851,800,518.985372
723.156303,800,520.942924
709.958137,800,522.904443
712.038127,800,524.869132
694.841142,800,526.810889
687.074962,800,535.048657
656.240128,800,537.009503
700.171049,800,538.957873
688.907032,800,540.916444
721.985094,800,542.860721
676.047745,800,544.791074
715.058765,800,553.062499
