#{"t_start": 1634159952.993518, "env_id": null}
r,l,t
-14.049581,800,0.880574
-403.850076,30,2.205791
-403.646332,150,2.408972
24.612169,800,3.607357
-2.570299,800,5.758317
27.982634,800,7.950787
72.45711,800,10.121345
-386.544051,141,11.569166
130.163998,800,20.565113
-380.644995,176,22.059764
117.639156,800,23.189268
168.313797,800,25.293956
-144.592369,739,27.415936
248.013801,800,29.521039
367.922149,800,31.785653
289.982926,800,43.926534
250.495475,800,46.102421
163.579668,800,48.271545
-303.416656,429,50.020791
384.187355,800,51.583232
320.011546,800,53.779273
-281.726791,300,55.387661
359.970165,800,56.731915
-182.282788,489,61.286475
-346.556508,170,62.27202
408.313304,800,63.380126
403.69899,800,65.536921
410.119183,800,67.786127
403.808643,800,70.059681
403.832889,800,72.310781
-337.258901,172,73.817748
-363.058055,128,74.236664
-353.958939,199,74.622563
-346.040447,165,79.739799
402.10515,800,80.893008
-336.363833,184,82.422447
348.371222,800,83.57709
398.67846,800,85.860005
342.247627,800,88.128125
381.327564,800,90.371013
402.253393,800,100.465549
-402.244675,18,101.83549
-127.928739,535,102.467435
-281.021023,283,103.690521
-224.412488,383,104.585169
-336.342231,198,105.438462
-329.684962,196,105.988075
-121.455501,536,106.924472
-299.2296,233,108.07242
-330.06167,190,108.662148
-312.794254,227,109.224342
-222.822583,392,110.047079
-341.550981,175,110.884457
-323.817124,199,111.39241
-328.538369,210,111.940681
-302.660748,266,112.586664
353.831322,800,113.9704
345.900065,800,128.251942
397.997893,800,130.529321
390.332766,800,132.747291
393.062108,800,134.95197
411.29515,800,137.200825
432.4013,800,139.434358
415.239184,800,150.800582
387.457185,800,153.06944
363.666776,800,155.343745
346.280492,800,157.623296
378.677243,800,159.860237
395.707918,800,162.131671
391.121531,800,175.487513
394.060469,800,177.831227
446.86402,800,180.044402
419.638104,800,182.264186
470.806421,800,184.45146
516.950667,800,186.769259
535.116178,800,198.929031
515.520897,800,201.231141
525.572408,800,203.479455
546.554632,800,205.792477
530.850191,800,208.058965
520.065451,800,210.299129
520.936117,800,212.564619
557.963243,800,223.150616
528.920288,800,225.345402
550.863407,800,227.567175
543.027361,800,229.768593
585.909197,800,232.01627
626.251871,800,234.310019
610.32022,800,246.071972
644.446428,800,248.421063
670.09725,800,250.733585
715.401015,800,253.223604
680.840258,800,255.726774
699.780718,800,258.21391
649.345722,800,274.392339
645.621146,800,276.778605
653.816432,800,279.044632
716.54836,800,281.403304
659.28324,800,283.730589
721.063081,800,286.083275
667.07619,800,300.116212
712.958281,800,302.532775
703.317377,800,304.938721
710.827611,800,307.340748
704.618317,800,309.715436
689.795069,800,312.123649
708.640116,800,314.442436
702.461999,800,326.014234
691.834668,800,328.325014
638.452227,800,330.595952
659.458421,800,332.853297
716.937396,800,335.186934
689.714014,800,337.521633
709.955879,800,349.522243
674.672939,800,351.885761
649.29998,800,354.230723
686.497368,800,356.534931
636.321616,800,358.842265
714.33082,800,361.212957
661.675587,800,373.538476
-119.144741,392,375.334577
674.545328,800,377.002639
712.101438,800,379.337889
655.513751,800,381.586044
700.910533,800,383.850915
699.252023,800,386.181046
645.005382,800,397.81658
706.762831,800,400.002538
715.575875,800,402.172585
707.797528,800,404.390782
694.406536,800,406.60464
232.852979,730,408.770875
701.31598,800,420.376222
666.370071,800,422.610206
697.536882,800,424.903907
697.131918,800,427.230438
694.678175,800,429.568533
701.165106,800,431.932798
712.805695,800,443.778219
693.310637,800,446.134833
722.438674,800,448.421677
705.153947,800,450.818704
-44.329632,440,452.752748
670.299778,800,454.523284
711.160744,800,456.90815
709.309605,800,468.106096
687.369338,800,470.515516
709.186195,800,472.930365
700.333342,800,475.336411
701.435434,800,477.747981
692.003102,800,480.162804
708.188696,800,492.328314
703.518812,800,494.760028
705.120342,800,497.218599
693.092823,800,499.555113
695.781137,800,501.974686
670.30631,800,504.297884
714.093561,800,506.576593
705.682804,800,517.358319
702.738233,800,519.668484
679.884865,800,521.908254
708.766195,800,524.240758
684.493798,800,526.550429
726.098133,800,528.918287
692.835593,800,540.167243
708.28345,800,542.400483
682.957445,800,544.757566
635.621542,800,547.040105
717.77411,800,549.300662
718.491258,800,551.714811
707.076202,800,562.795683
674.487553,800,565.1159
665.998782,800,567.441736
701.980236,800,569.631751
683.887578,800,571.801157
692.209207,800,574.012881
701.725908,800,584.984208
712.898529,800,587.215832
721.293955,800,589.411799
691.940027,800,591.64098
714.700762,800,593.831817
681.524589,800,596.065752
707.549232,800,598.3719
684.139555,800,610.021417
704.847209,800,612.309981
679.690658,800,614.58184
677.834489,800,616.877259
682.298032,800,619.073747
660.094807,800,621.25539
704.355874,800,635.526316
123.274824,648,637.542321
702.180605,800,639.573298
672.171985,800,641.813096
715.59197,800,643.988081
692.933437,800,646.263
656.548957,800,657.998448
677.879296,800,660.226574
704.071775,800,662.469525
-278.902458,204,664.01584
680.453994,800,665.241162
687.869858,800,667.512034
686.992264,800,669.84557
676.325097,800,684.260359
708.169716,800,686.58612
675.341539,800,688.901957
-35.158688,443,690.78486
708.437798,800,692.573136
712.878306,800,694.841199
687.282653,800,697.160957
719.427136,800,708.593222
