#{"t_start": 1634155897.6792142, "env_id": null}
r,l,t
-0.180149,800,0.915142
-408.188741,68,2.286107
-29.5273,800,3.259842
-44.591796,800,5.416823
-39.642851,800,7.675541
-19.375635,800,9.965747
-106.495201,800,12.144782
-78.091912,800,21.538705
-47.578889,800,23.789723
-68.232893,800,26.100931
1.201193,800,28.281425
-1.565926,800,30.511479
0.300764,800,32.756631
3.564459,800,44.434412
-2.324382,800,46.647377
1.593823,800,48.920422
2.293052,800,51.327058
1.003811,800,53.652565
0.880218,800,55.984434
3.753294,800,68.429635
4.664687,800,70.78565
5.747372,800,73.146438
5.899467,800,75.464958
7.421976,800,77.814467
9.027929,800,80.083622
10.328718,800,92.071487
10.163313,800,94.401254
10.828173,800,96.742232
10.318179,800,99.117568
14.256772,800,101.442163
10.381065,800,103.751842
10.779944,800,106.055954
10.873722,800,116.312062
11.266749,800,118.586074
12.493246,800,120.92944
12.730213,800,123.348328
17.241409,800,125.675063
13.354766,800,128.020115
22.303337,800,139.090612
22.066257,800,141.44467
22.610446,800,143.714667
25.658815,800,146.024185
22.587265,800,148.266949
31.516273,800,150.507498
37.993006,800,160.996527
32.437085,800,163.358741
36.731831,800,165.659131
38.504441,800,167.987171
48.08739,800,170.266584
48.742008,800,172.475692
56.010938,800,182.257845
56.315429,800,184.514506
56.854849,800,186.763154
32.469551,800,189.01416
34.345,800,191.260186
55.565781,800,193.453104
63.471432,800,195.616806
65.863427,800,205.007944
65.659378,800,207.207613
67.486731,800,209.382749
60.447222,800,211.550458
74.303882,800,213.701323
88.201853,800,215.854419
87.887294,800,225.453527
93.222793,800,227.680613
99.384698,800,229.885071
110.079221,800,232.079684
117.907068,800,234.251251
116.366369,800,236.397674
118.734407,800,245.387114
110.434116,800,247.531708
113.532265,800,249.699205
129.420246,800,251.828916
129.370225,800,253.948803
121.414284,800,256.10143
119.184321,800,264.817568
124.133969,800,266.981687
123.627456,800,269.159298
123.78892,800,271.321021
133.480329,800,273.491043
133.988264,800,275.575659
120.61471,800,277.620657
130.003528,800,285.895494
139.974017,800,287.935586
131.875283,800,289.973521
126.413096,800,292.07259
140.537027,800,294.100337
134.064173,800,296.139078
132.180333,800,304.210619
113.646845,800,306.289663
130.316894,800,308.32665
132.556281,800,310.422205
124.389132,800,312.562018
140.574584,800,314.641412
128.369755,800,323.315442
116.818913,800,325.475496
131.315702,800,327.58785
130.114292,800,329.707412
129.307643,800,331.820004
143.909373,800,333.902249
132.104041,800,342.588458
124.069703,800,344.6531
129.792573,800,346.70928
136.784072,800,348.738243
130.619896,800,350.786867
133.689708,800,352.834561
140.47876,800,354.899248
133.555861,800,363.312949
137.3939,800,365.44253
140.4376,800,367.54658
132.751132,800,369.627335
133.729386,800,371.733413
131.292786,800,373.847711
117.714614,800,382.35282
142.342808,800,384.455572
141.668086,800,386.550147
129.574468,800,388.656295
130.434084,800,390.725101
131.443046,800,392.784519
127.748119,800,401.403333
135.655922,800,403.432181
126.574658,800,405.495812
131.45382,800,407.5552
128.18141,800,409.62041
126.778673,800,411.677356
138.32957,800,419.787266
134.443082,800,421.812533
131.071806,800,423.842724
143.006616,800,425.867524
123.728955,800,427.940018
128.155628,800,429.981102
143.91304,800,432.005451
136.840318,800,439.903079
129.408793,800,441.947645
143.94974,800,443.94997
145.72334,800,445.96264
131.194451,800,447.992121
131.896013,800,450.034401
126.407788,800,458.048138
133.160308,800,460.076149
144.160607,800,462.120251
145.277427,800,464.130738
117.997049,800,466.198726
133.033566,800,468.268092
130.394335,800,476.198249
128.564245,800,478.265539
123.087132,800,480.331116
117.739139,800,482.405173
128.538852,800,484.47873
129.316002,800,486.606248
138.166518,800,495.207379
133.332216,800,497.321946
132.901708,800,499.438338
141.482592,800,501.53666
142.365962,800,503.656797
138.342851,800,505.767408
139.46524,800,507.872538
130.958601,800,516.529869
145.813456,800,518.637412
126.41586,800,520.757434
133.117535,800,522.859691
142.026782,800,524.939139
136.828427,800,527.033857
132.866638,800,535.738763
130.597473,800,537.869924
128.432832,800,540.007226
128.690172,800,542.11031
131.851994,800,544.204888
135.464034,800,546.306298
141.574493,800,554.812692
135.692751,800,556.88046
134.781195,800,558.926144
135.806392,800,561.015435
139.36532,800,563.086504
121.214865,800,565.19268
134.284112,800,573.272421
121.599073,800,575.389798
136.789451,800,577.477107
126.500571,800,579.587295
127.705213,800,581.688021
131.520835,800,583.781505
127.717114,800,585.88869
127.726255,800,594.087549
131.584976,800,596.205464
128.919142,800,598.3189
138.462883,800,600.359486
124.789682,800,602.412283
139.311909,800,604.447037
143.960052,800,612.502031
