#{"t_start": 1634159164.3574758, "env_id": null}
r,l,t
-402.390282,19,0.039402
-403.075291,37,0.167334
-403.592059,34,0.355975
-403.290886,29,0.529104
-413.074521,87,0.808123
-442.508358,278,1.76604
-414.016781,90,2.867016
-507.899359,789,4.896296
79.115199,800,9.433493
-400.867592,126,12.438169
-400.426712,58,12.972307
-401.254351,49,13.261637
-400.170223,56,13.526884
-398.999202,91,13.901286
-400.758504,47,14.305347
-401.523943,68,14.593021
-401.377499,50,14.914332
-401.907569,44,15.175508
-400.479795,72,15.463214
-400.57691,99,15.948157
-404.951034,87,16.469996
-397.157026,175,17.1206
-417.160435,262,18.244197
-403.746183,190,19.507529
-427.112709,352,20.854312
-405.263706,61,22.190153
117.129318,800,24.097941
-5.481801,800,44.403063
87.559281,800,48.812251
140.972681,800,53.211345
135.176761,800,57.463176
256.755252,800,61.765607
246.421404,800,66.144423
340.846574,800,86.148139
341.424162,800,90.580126
350.633716,800,94.975273
390.128437,800,99.564002
384.970937,800,104.059258
366.898559,800,108.516405
383.251702,800,130.371705
379.460231,800,135.086055
398.526147,800,139.641295
431.1425,800,144.241087
383.373001,800,148.944703
383.84583,800,153.510495
389.806225,800,175.664224
386.222871,800,180.589321
398.261911,800,185.148908
373.434306,800,189.620233
347.805601,800,194.054662
374.54344,800,198.459146
394.331417,800,203.353876
388.367781,800,222.166871
418.044851,800,226.61875
409.155436,800,231.062972
383.481586,800,235.535113
399.469447,800,240.288224
392.313811,800,245.052137
422.236611,800,267.525934
398.562276,800,272.407096
398.920445,800,277.038503
414.948271,800,281.709094
405.201971,800,286.280307
382.923717,800,290.804682
388.212325,800,312.414189
480.921453,800,317.081965
451.547724,800,321.73631
444.637364,800,326.308723
387.646436,800,330.874686
467.645559,800,335.361613
393.290278,800,357.179947
452.190354,800,361.626695
418.792647,800,366.260262
469.494045,800,370.772468
428.182021,800,375.487345
395.553673,800,380.15989
398.480861,800,385.010385
482.626157,800,406.081281
505.264692,800,410.428356
506.422734,800,414.928253
508.575336,800,419.462986
520.916307,800,424.040201
522.783275,800,428.587808
497.999114,800,448.591248
502.826247,800,453.080304
493.921481,800,457.725111
547.078315,800,462.227453
517.354908,800,466.742634
517.945609,800,471.505169
517.512528,800,492.450778
542.685002,800,497.080618
604.343312,800,501.725286
589.341367,800,506.344526
609.457416,800,510.958799
682.123617,800,515.849288
684.041329,800,540.475843
672.767586,800,545.211605
704.460231,800,549.940352
688.633936,800,554.638541
701.375531,800,559.518475
698.284804,800,564.206282
705.664872,800,569.056681
718.764297,800,593.188657
726.733963,800,598.559912
725.796143,800,603.692336
-52.365824,419,607.600949
701.556133,800,610.94654
729.273884,800,615.566134
720.153031,800,638.066925
721.029988,800,642.882193
716.853709,800,647.682407
721.571315,800,652.599861
688.312313,800,657.259968
706.380796,800,662.03444
716.551759,800,666.702552
717.740903,800,689.263827
712.647635,800,694.056801
720.67297,800,698.783923
695.676084,800,703.485313
121.232202,631,707.787677
712.459739,800,711.807136
713.088687,800,732.284763
726.120869,800,737.035448
733.668725,800,741.819953
715.251998,800,746.607672
682.763077,800,751.318575
737.181729,800,756.215499
709.375183,800,778.71347
690.796488,800,783.398643
702.295934,800,788.112406
688.787219,800,792.851385
-230.676025,244,796.270658
711.084375,800,798.811423
703.145872,800,803.420423
687.65779,800,824.772213
691.392251,800,829.470455
-166.378488,332,833.13784
710.856971,800,836.154104
671.571074,800,840.801139
195.713969,705,845.373583
712.069696,800,849.658758
645.90809,800,871.033193
712.389514,800,875.688215
709.601704,800,880.432444
203.520491,714,884.854998
-302.378999,176,887.858483
-120.123113,396,889.42927
-334.977469,134,891.141367
-312.279958,158,891.92938
-152.090802,350,893.315639
-225.211457,247,895.133014
-255.247188,227,896.506464
200.954469,678,898.875741
-182.337862,309,912.084463
-364.313937,109,913.474637
689.375447,800,915.403828
679.387614,800,919.988192
663.117444,800,924.710988
42.387834,528,928.889591
644.661527,800,932.890625
669.029009,800,938.188706
696.648138,800,963.946697
696.394718,800,968.770968
688.179426,800,973.651966
668.218405,800,978.584024
697.50287,800,983.371222
683.246529,800,988.071765
672.706015,800,1006.544643
687.956592,800,1011.452873
719.799996,800,1016.393771
664.172298,800,1021.114245
682.7157,800,1025.85705
714.231851,800,1030.673476
725.149257,800,1051.146783
678.06582,800,1056.084523
698.458695,800,1060.862242
684.698717,800,1065.536705
701.849641,800,1070.323998
713.294274,800,1075.078218
718.807087,800,1095.785371
701.801082,800,1100.523003
686.953184,800,1105.17574
707.81433,800,1110.07186
650.36862,800,1114.754011
686.917651,800,1119.495434
685.636738,800,1124.355757
676.126934,800,1145.664706
690.402484,800,1150.272838
689.61136,800,1155.301828
662.354088,800,1159.932573
693.961129,800,1164.634648
701.841717,800,1169.684562
706.104718,800,1189.7183
673.89622,800,1194.494893
677.417301,800,1199.271111
679.435441,800,1203.890378
652.332775,800,1208.79622
643.956001,800,1213.855139
686.39042,800,1239.316051
674.016368,800,1244.117769
86.475885,574,1248.262263
693.529612,800,1252.232982
661.37187,800,1256.916939
683.79445,800,1261.558116
676.436633,800,1266.283825
708.418741,800,1292.254777
663.502878,800,1296.824375
676.02688,800,1301.47701
701.358609,800,1306.274865
682.362807,800,1310.88143
700.671674,800,1315.630986
669.09471,800,1334.483854
709.697223,800,1339.355741
677.332347,800,1344.183733
721.818368,800,1348.965585
686.607909,800,1353.952604
677.276324,800,1358.803148
698.846233,800,1389.78932
