#{"t_start": 1634630474.072039, "env_id": null}
r,l,t
-401.820672,16,0.01675
-402.074955,47,0.099022
-18.903974,800,1.294293
4.152343,800,3.610214
-401.724722,15,4.997259
38.100667,800,5.980398
-393.655748,134,7.489137
-401.006916,102,7.823146
-393.206811,202,8.185263
-397.484386,78,8.60713
-397.922247,90,8.838195
40.878813,800,9.944768
14.260224,800,12.216442
77.371558,800,24.7116
142.942256,800,27.028746
247.241132,800,29.267938
232.21691,800,31.556475
253.944898,800,33.832783
354.969477,800,36.165753
404.77663,800,48.97288
371.379028,800,51.206293
371.604043,800,53.452004
380.278699,800,55.748202
-343.40223,181,57.293339
387.278351,800,58.499849
-317.652841,267,60.179915
-347.80768,184,60.868523
-218.964633,389,61.635235
368.206444,800,68.754855
-319.884198,222,70.407872
-342.811584,174,70.983458
-293.01925,274,71.619595
-309.290757,261,72.406676
392.689931,800,73.849544
399.942439,800,76.188926
365.029801,800,78.503934
391.016994,800,80.877223
-326.853779,207,82.505859
-143.434566,580,85.51631
-225.211652,499,87.112266
326.140553,800,88.993687
395.442077,800,91.37706
-200.41944,479,93.371337
-329.468268,195,94.506507
403.23951,800,95.843831
418.046647,800,98.173683
475.782076,800,112.577413
407.876613,800,115.083794
392.579591,800,117.799645
379.799327,800,120.213938
389.823488,800,122.636823
394.482658,800,125.217391
392.795314,800,137.666846
389.375208,800,140.038519
388.818085,800,142.402633
409.450631,800,144.740593
372.589451,800,147.034298
379.154485,800,149.29285
394.308908,800,151.566428
374.630336,800,164.884119
388.753253,800,167.291169
397.283063,800,169.677269
400.008991,800,172.15327
407.966806,800,174.544863
400.140345,800,177.065506
398.245409,800,191.788369
406.978214,800,194.124862
396.426116,800,196.399611
413.910557,800,198.753361
410.5928,800,201.096361
427.176372,800,203.420084
420.923824,800,215.623592
439.355351,800,218.055042
433.031837,800,220.417077
454.715592,800,222.743413
473.962488,800,225.324564
471.056786,800,227.745172
495.481137,800,239.750992
553.549587,800,242.131344
528.334316,800,244.427707
564.080419,800,246.730004
635.5735,800,249.106305
691.99137,800,251.552673
635.561281,800,253.876369
671.632385,800,267.269294
664.934252,800,269.774202
673.413009,800,272.308266
677.039922,800,274.902053
677.734326,800,277.337261
700.984689,800,279.77533
674.708263,800,293.905336
676.588828,800,296.248691
689.142012,800,298.646737
687.303451,800,301.056913
704.046138,800,303.410184
721.849522,800,305.810611
715.848448,800,320.229366
723.786449,800,322.877335
671.363209,800,325.366088
689.30895,800,327.901599
696.1139,800,330.391411
712.186775,800,332.854331
656.282266,800,347.247859
683.055566,800,349.67237
713.210614,800,352.13124
665.717475,800,354.544374
-50.821959,464,356.510706
686.536929,800,358.311064
709.225149,800,360.625603
691.256082,800,373.558583
690.784467,800,375.969105
709.873483,800,378.428521
-178.411909,308,380.230625
678.051448,800,381.847698
690.409,800,384.338905
713.648461,800,386.702635
714.014762,800,399.975444
704.342233,800,402.405034
702.576348,800,404.810897
701.388461,800,407.307303
701.792316,800,409.986383
704.419718,800,412.471271
-248.204595,228,414.24318
103.096345,584,425.576366
699.739074,800,427.620961
690.778258,800,429.952339
682.270572,800,432.344216
174.583084,667,434.530051
697.315642,800,436.621581
699.581072,800,448.78875
717.603721,800,451.234311
699.270974,800,453.61287
687.975362,800,456.051544
683.507758,800,458.519888
716.544397,800,460.955884
707.429855,800,463.329746
674.568773,800,475.064513
705.638858,800,477.468384
716.227636,800,479.815348
669.381177,800,482.062728
690.365808,800,484.611656
675.880555,800,486.914764
668.61295,800,498.63644
692.329391,800,501.0631
695.329045,800,503.398714
653.598431,800,505.779713
715.534217,800,508.191498
701.529648,800,510.606089
656.811698,800,522.674978
646.76669,800,525.100554
672.359266,800,527.507796
703.739228,800,529.946988
665.034592,800,532.50288
116.896282,664,534.750449
690.408868,800,536.823612
654.390308,800,550.575027
667.902922,800,553.100666
650.311423,800,555.455997
675.213741,800,557.858329
644.663739,800,560.033678
643.122448,800,562.228415
683.343831,800,574.590283
680.79401,800,576.852693
679.331241,800,579.2967
661.97282,800,581.841492
657.658469,800,584.332542
632.127248,800,586.902462
661.872825,800,600.308029
696.248258,800,602.83678
660.885714,800,605.299497
715.526294,800,607.609095
687.008437,800,609.919001
676.814235,800,612.304354
641.096766,800,624.033101
695.215031,800,626.373725
686.105989,800,628.831721
713.07666,800,631.356618
681.638739,800,633.825424
668.359564,800,636.235014
704.585309,800,638.658449
668.332982,800,651.49225
691.731979,800,653.846871
706.871369,800,656.25988
714.249153,800,658.630096
676.490182,800,660.970644
661.983553,800,663.301093
662.874715,800,676.431249
694.390759,800,678.836733
667.034941,800,681.366766
705.118205,800,683.771373
670.759954,800,686.276182
665.236577,800,688.562703
637.522668,800,699.735867
680.294615,800,702.010352
679.623822,800,704.25703
679.865154,800,706.537628
710.64553,800,708.859384
697.707727,800,711.125462
674.465311,800,723.199052
651.070476,800,725.657199
686.429922,800,727.942939
670.826673,800,730.253204
692.01549,800,732.72799
662.020962,800,735.030281
671.287879,800,737.61145
687.826591,800,749.484792
