#{"t_start": 1634176914.8857496, "env_id": null}
r,l,t
-402.396699,19,0.039015
-403.680452,39,0.174029
-407.998787,77,0.447384
-400.323196,124,0.936064
-1.674426,800,3.044583
-404.342041,179,6.086516
24.286601,800,8.052058
-363.557425,363,11.514138
-393.16607,128,13.008391
-401.949642,19,13.491778
-400.507182,112,13.777126
-401.59223,57,14.269611
-401.734522,26,14.53323
-390.232947,152,14.91269
-402.953133,97,15.617067
-397.079109,141,16.236363
-40.67496,800,18.380524
49.956413,800,22.776132
191.90344,800,41.038486
167.384052,800,45.528619
307.702469,800,49.896573
224.438448,800,54.300777
382.224548,800,58.727513
461.055883,800,63.447559
436.724652,800,83.0755
411.579555,800,87.808222
361.473762,800,92.835316
384.448486,800,97.994504
347.307523,800,102.936481
386.594998,800,108.076952
389.555914,800,129.762762
425.85448,800,134.37323
398.281334,800,138.888848
427.871284,800,143.645372
378.064384,800,148.178329
398.66147,800,152.820119
365.236774,800,157.352998
-268.31055,340,172.118832
368.180034,800,174.901052
418.389965,800,179.332092
380.347377,800,183.732594
-233.055788,391,187.294601
296.49475,800,190.456309
313.33516,800,195.087864
394.721308,800,215.554064
-287.252626,310,219.10102
-328.250863,189,220.59963
323.030004,800,222.934725
350.151806,800,227.574483
-301.54805,222,231.077655
-245.290603,376,232.641986
394.852378,800,235.715745
410.207149,800,240.169681
397.567697,800,262.794507
481.373761,800,267.209094
396.033093,800,271.705133
394.431939,800,276.299912
403.325069,800,280.805886
439.029091,800,285.25581
441.966416,800,304.860806
449.114668,800,309.239405
496.535361,800,313.847326
510.977798,800,318.292547
520.566661,800,322.902976
521.377166,800,327.460675
546.010151,800,348.576624
545.192414,800,353.195135
549.195826,800,357.752162
575.735683,800,362.352835
580.854698,800,367.104317
618.248671,800,371.577336
663.97021,800,376.14994
697.980247,800,397.688209
609.884281,800,402.425323
648.875241,800,407.10663
714.332063,800,412.008754
669.985329,800,416.8577
718.660132,800,421.93627
658.924564,800,443.814009
725.14518,800,449.07926
710.423773,800,454.00931
687.32373,800,458.721219
674.530369,800,464.222548
713.505641,800,469.651778
718.234583,800,491.343249
704.495315,800,495.964302
686.274015,800,500.575597
724.487414,800,505.202079
735.53252,800,509.899646
687.632598,800,514.629861
736.747529,800,537.655203
694.224008,800,542.259706
712.578606,800,547.063576
700.782753,800,551.756587
715.363483,800,556.488039
711.022182,800,561.116684
696.090867,800,565.748042
679.244373,800,587.90346
696.427731,800,592.536114
657.550572,800,597.183921
697.31059,800,601.881331
-194.958506,302,605.365472
696.126031,800,608.245416
704.408588,800,630.754405
684.171997,800,635.389429
686.530874,800,639.989687
685.775538,800,644.584627
715.49212,800,649.3709
691.228659,800,654.812037
692.348027,800,660.730476
686.263732,800,683.486987
697.069235,800,688.116166
718.913251,800,692.709247
248.337481,752,697.227215
695.357141,800,701.657891
-166.905432,314,705.23462
686.589637,800,708.212087
-205.007249,297,728.824834
677.442693,800,731.705798
704.417569,800,736.445827
672.799692,800,741.111279
711.826383,800,745.797682
706.294355,800,750.357772
679.09883,800,772.582245
694.014367,800,777.367477
676.010423,800,782.023787
665.155461,800,786.855764
686.811563,800,791.654807
720.393922,800,796.503852
713.049514,800,800.877267
680.938214,800,824.851924
671.040184,800,829.386614
669.038991,800,834.069453
116.646967,624,838.306145
122.326261,646,841.999925
671.83383,800,846.302419
683.871386,800,871.734175
681.515882,800,876.24765
677.136668,800,880.827081
686.734009,800,885.467186
675.039077,800,890.070013
692.51767,800,894.826747
670.236615,800,899.261354
688.747735,800,926.025136
653.230608,800,930.694885
689.736198,800,935.412962
675.547719,800,939.873197
656.135286,800,944.500766
637.929291,800,948.921319
671.752799,800,967.72565
672.514199,800,972.662323
694.275795,800,977.40791
641.473373,800,982.021518
647.54186,800,986.40812
658.482703,800,991.242465
716.804957,800,1011.183988
689.786658,800,1015.72187
661.220895,800,1020.284847
661.45474,800,1024.797959
684.456328,800,1029.240112
691.077873,800,1033.839003
674.032799,800,1052.776886
689.206121,800,1057.390835
712.10357,800,1062.262876
693.892505,800,1066.893415
659.397854,800,1071.520826
650.839309,800,1076.20633
687.923048,800,1080.663671
684.105074,800,1102.583987
678.167925,800,1107.248826
691.668072,800,1111.781711
674.28322,800,1116.388935
652.446928,800,1120.902493
715.030715,800,1125.398962
698.263259,800,1146.653649
724.909649,800,1151.559239
704.457662,800,1156.980395
678.177593,800,1161.505289
709.931235,800,1166.225825
-277.982083,202,1169.505925
689.626424,800,1172.014014
709.058773,800,1192.523097
678.486749,800,1197.147981
722.262853,800,1201.897544
640.374508,800,1206.471125
677.497246,800,1211.06083
677.654817,800,1215.646325
686.435511,800,1234.487433
658.856124,800,1239.285057
690.680709,800,1244.081321
671.629638,800,1248.825356
724.239736,800,1253.49722
712.27882,800,1258.099
697.021536,800,1276.529949
685.104484,800,1281.119569
678.706043,800,1285.65814
686.15219,800,1290.636741
691.81569,800,1295.302066
711.900466,800,1300.062716
-71.972779,412,1303.918222
704.555597,800,1324.784058
710.524854,800,1329.508588
688.793735,800,1334.099599
701.56038,800,1338.993381
666.639497,800,1343.595266
688.582337,800,1348.200581
677.623169,800,1372.974932
