#{"t_start": 1648039451.5535367, "env_id": null}
r,l,t
-401.138928,20,0.027972
-77.28263,800,1.005939
-389.287183,24,3.086698
-386.497575,110,3.263999
-372.74884,152,3.700212
43.499459,800,4.915118
-214.466218,293,7.193437
-392.668478,81,8.022841
-396.749315,60,8.28876
-399.265528,21,8.467765
-374.962921,94,8.630239
-395.954741,6,8.877476
-370.685707,41,8.942739
-400.968934,20,9.072438
-383.99222,64,9.202425
-400.863894,12,9.37704
-399.148512,25,9.434292
-400.369692,4,9.501996
-400.12059,95,9.614125
-397.881787,37,9.894369
-394.904914,83,10.080368
-401.1309,53,10.354344
-379.709891,38,10.530219
-370.080913,54,10.683097
-363.239063,128,10.972291
-375.201074,104,11.403623
-393.042238,76,11.748195
-397.259482,56,12.002337
-367.005093,126,12.25944
-375.190963,107,12.691309
-383.270976,81,13.053831
-402.160611,28,13.305331
-347.912861,123,13.515293
-390.634755,87,13.918478
-401.484894,52,14.193048
-395.651644,28,14.350391
-391.470275,91,14.517253
-29.712005,800,15.715561
-78.767606,800,118.737725
86.047426,800,122.025218
-127.592302,539,124.869918
-399.313568,6,126.39631
-93.270537,596,127.16043
-351.483139,256,129.123104
-366.032526,118,129.965247
-139.980167,574,130.950381
433.534102,800,133.523184
-292.369957,227,136.063386
-206.276073,468,210.59621
440.651283,800,212.939931
424.614119,800,216.150161
377.204111,800,219.380933
-363.440374,71,221.721117
386.425317,800,222.846426
387.098715,800,226.056061
430.304403,800,229.296148
272.564438,800,290.728989
-343.828054,135,293.223788
-287.985531,261,293.91972
-294.666676,285,295.029293
396.776897,800,296.869155
-332.784978,160,299.392318
421.641705,800,300.851433
394.479582,800,304.076173
451.226443,800,307.393192
-279.26503,239,373.999629
423.72632,800,375.746512
-303.941771,213,378.32372
364.905682,800,379.958959
412.900341,800,383.245906
438.963408,800,386.347763
395.73117,800,389.431586
434.346597,800,455.38465
-287.495241,222,458.006347
381.707079,800,459.686423
403.91747,800,463.113181
411.152523,800,466.428255
429.058849,800,469.737497
376.566816,800,473.050561
421.092881,800,542.627781
367.623419,800,545.871759
361.68355,800,548.934247
-88.003157,583,551.786118
424.390473,800,554.358223
435.000398,800,557.481941
417.742409,800,560.621169
395.704496,800,638.928605
-195.402957,341,641.606467
449.508429,800,643.470052
443.289214,800,646.600678
-271.658531,308,649.175083
-295.124522,259,650.400305
-29.067488,648,651.884377
-319.953289,136,653.90303
-399.904809,6,654.295846
-316.652283,151,654.487302
-357.164676,96,655.039427
-268.036586,265,655.60704
-266.059949,249,656.62708
-288.272585,237,657.616059
555.51109,800,756.019704
481.7589,800,759.416348
-319.673192,186,762.028816
-303.26701,169,762.787708
476.504244,800,764.28661
599.920962,800,767.676005
465.502512,800,771.052211
507.208345,800,774.467458
577.031947,800,868.28432
617.028707,800,871.772695
45.845428,551,874.981049
652.713578,800,877.611959
707.95973,800,880.980569
-399.272557,4,883.191792
712.995938,800,884.227049
656.677607,800,1002.493156
688.231089,800,1005.741191
768.315747,800,1008.984105
726.721668,800,1012.23878
761.542254,800,1015.624602
738.147205,800,1018.956767
773.604917,800,1145.276838
771.768806,800,1148.840351
758.951213,800,1152.27281
707.021843,800,1155.639059
732.214228,800,1159.042485
755.849813,800,1162.441627
747.694946,800,1165.866425
685.031005,800,1275.224659
709.795468,800,1278.984422
717.601794,800,1282.514662
708.210103,800,1286.004884
688.932556,800,1289.502798
705.865027,800,1292.992517
723.129051,800,1404.199212
748.113129,800,1407.621909
766.531273,800,1410.989289
707.957115,800,1414.285733
734.334407,800,1417.638104
712.133974,800,1421.01947
762.033688,800,1531.347471
684.40221,800,1534.844756
-374.424701,38,1537.282387
709.24287,800,1538.40898
734.040282,800,1541.885104
776.023951,800,1545.320093
685.877256,800,1548.726573
765.448443,800,1650.458146
