#{"t_start": 1634180303.6963315, "env_id": null}
r,l,t
-402.409081,110,0.251939
-120.465664,800,1.407758
-404.357884,40,2.824808
-414.151209,122,3.019617
-29.260745,800,4.090204
-19.980211,800,6.455077
-423.053036,766,8.590369
-47.975541,800,10.622195
-332.658723,444,12.414013
-325.44967,348,17.253246
43.57206,800,18.801677
55.653821,800,21.006467
-380.757991,197,22.543712
-352.253324,212,23.087601
-168.971241,607,24.087491
230.870603,800,25.949597
-337.470004,294,27.561037
-333.290034,302,28.374537
-342.869719,245,29.141459
-285.980694,397,29.965566
-282.94847,408,32.94062
-296.491839,421,34.080755
305.836504,800,35.622954
-289.043393,310,37.269454
-348.178833,208,38.001714
-309.156562,302,38.660744
-320.698416,324,39.548414
-190.022056,578,40.753513
313.193326,800,42.670597
341.753471,800,44.958556
441.381235,800,55.561726
-71.717162,691,57.727121
415.111727,800,59.743566
439.601645,800,61.960261
-291.535036,257,63.603976
445.833307,800,64.91667
-289.804534,254,66.549793
424.250443,800,67.828282
456.362959,800,78.076329
482.978064,800,80.30158
557.512199,800,82.58652
541.995349,800,84.900848
552.813555,800,87.177536
607.424888,800,89.490304
-223.917921,264,91.163595
598.354008,800,94.490011
660.917685,800,96.878427
600.414686,800,99.249544
-87.971676,478,101.16873
691.240901,800,103.107753
677.588257,800,105.494455
661.435267,800,116.450939
679.220143,800,118.789947
697.459363,800,121.136129
695.626353,800,123.459999
684.782759,800,125.757482
674.011706,800,128.062333
675.522783,800,130.40063
712.874042,800,140.202097
701.652264,800,142.515549
678.89926,800,144.873829
668.82319,800,147.253653
-59.068189,459,149.190106
691.301794,800,150.968931
669.694313,800,163.254704
682.711223,800,165.647123
702.230063,800,167.958203
727.981817,800,170.261797
699.891442,800,172.571206
645.671061,800,174.766414
702.840907,800,185.496143
693.463823,800,187.729265
-209.965151,293,189.338159
678.548617,800,190.782176
687.692844,800,192.98749
677.794437,800,195.164126
714.174716,800,197.350616
697.497444,800,207.730036
645.062266,800,209.899135
712.579184,800,212.081678
673.336195,800,214.25074
658.320641,800,216.450475
724.502716,800,218.637087
704.574217,800,220.8191
679.974828,800,231.089032
694.63285,800,233.309367
644.869884,800,235.466438
682.355668,800,237.673395
707.586454,800,239.849379
671.656191,800,242.065129
707.01799,800,252.300814
158.129577,667,254.354228
143.881451,686,256.208078
652.699334,800,258.256864
-78.699153,436,260.084707
657.643228,800,261.709977
652.803334,800,263.911507
664.231464,800,275.024425
645.603115,800,277.208459
623.806855,800,279.470726
646.520565,800,281.654994
667.364393,800,283.840865
659.66467,800,286.032416
647.616083,800,296.019227
704.726493,800,298.282792
672.996527,800,300.524772
650.538989,800,302.94537
644.071868,800,305.242844
672.24648,800,307.591141
613.662323,800,319.433682
683.885868,800,321.769044
699.483656,800,324.074506
699.962535,800,326.395976
687.274719,800,328.73524
676.024001,800,331.016396
658.551436,800,333.299127
676.097316,800,344.471876
679.043783,800,346.734355
673.931754,800,349.006663
676.422634,800,351.265874
662.652086,800,353.514965
676.94171,800,355.778478
674.779217,800,366.994604
-375.401498,98,368.456842
-399.232009,54,368.668833
679.851011,800,369.662288
655.165895,800,371.853432
653.933534,800,374.095979
698.466266,800,376.295933
669.935649,800,378.446295
683.741238,800,391.353542
643.614084,800,393.563865
677.569779,800,395.76975
-281.437604,215,397.303521
674.372226,800,398.588556
-401.361174,55,399.962183
674.058805,800,400.903682
619.519354,800,403.114866
649.859494,800,414.718045
679.24871,800,416.91141
660.075923,800,419.071451
700.783529,800,421.279845
702.187128,800,423.513615
645.609478,800,425.744276
674.142656,800,436.399109
659.276413,800,438.585768
671.619919,800,440.878987
673.728444,800,443.123226
692.337934,800,445.318189
695.653331,800,447.550582
698.854827,800,458.013622
681.772462,800,460.230496
692.957552,800,462.432606
-400.207322,36,463.773998
659.5749,800,464.651975
700.632412,800,466.918682
724.738803,800,469.192905
695.772981,800,471.494616
687.462899,800,486.997517
698.558439,800,489.325383
675.736743,800,491.692025
681.100507,800,494.074728
685.569063,800,496.504155
682.42494,800,498.798872
733.930653,800,512.083857
680.356714,800,514.390347
667.179674,800,516.708759
661.132439,800,519.095577
681.469663,800,521.543747
651.748134,800,523.962076
642.407797,800,535.978564
666.986592,800,538.327569
657.185421,800,540.638133
640.161199,800,542.88424
629.379528,800,545.151012
687.825049,800,547.544268
-179.41273,329,549.255653
648.786706,800,559.770186
671.797348,800,562.113604
653.055796,800,564.369774
644.824249,800,566.612238
676.717365,800,568.95853
50.805625,553,570.917258
663.486457,800,581.727206
669.178831,800,583.944744
674.35381,800,586.261655
651.313962,800,588.511072
655.920557,800,590.846934
695.657946,800,593.130547
636.907115,800,595.423655
708.79425,800,607.007695
701.18405,800,609.342355
650.025222,800,611.632896
705.399961,800,613.915181
698.594488,800,616.128412
670.647676,800,618.459661
667.219188,800,629.683517
693.494682,800,631.963078
691.614689,800,634.400584
696.718899,800,636.653347
690.730169,800,638.896043
83.762699,592,640.936169
704.818052,800,653.362251
669.710652,800,655.820019
687.126571,800,658.283884
701.640528,800,660.576957
694.264135,800,662.910357
655.393923,800,665.208824
669.05933,800,667.480898
678.524387,800,678.392398
