#{"t_start": 1634625793.8358777, "env_id": null}
r,l,t
-402.396699,19,0.030417
-403.680452,39,0.112774
-407.998787,77,0.275934
-400.323196,124,0.562538
9.525972,800,1.774296
-400.588727,149,3.286055
-384.857222,602,4.110907
170.100185,800,5.892161
88.913637,800,8.074154
-408.810497,124,9.529177
-401.430408,135,9.873932
-401.777043,19,10.112353
-403.837116,87,10.243586
-406.590759,62,10.455405
-409.844958,101,10.67313
-402.75662,47,10.890794
-405.455973,73,11.046458
-322.643261,239,11.405333
-400.961101,54,11.858718
-338.350581,238,12.188202
334.886911,800,14.598789
377.885752,800,16.760731
431.745791,800,19.015745
355.079619,800,21.265519
403.935615,800,23.58863
349.156632,800,25.892446
-269.742443,393,27.724634
412.369774,800,35.447635
395.926847,800,37.821347
-321.23013,226,39.508272
-311.245362,280,40.212075
-267.45694,394,41.119888
357.026946,800,42.697315
327.233559,800,45.01528
391.760091,800,47.391103
398.919029,800,59.351182
377.51204,800,61.934122
465.399721,800,64.200407
444.779178,800,66.692553
419.116427,800,69.026651
397.471301,800,71.224028
381.186157,800,82.242361
410.953573,800,84.568721
506.632241,800,86.764863
513.588397,800,89.132496
412.160198,800,91.700682
601.634973,800,94.04231
541.772334,800,107.435577
608.78105,800,109.860817
656.545312,800,112.205787
685.478866,800,114.477781
690.069658,800,116.79427
698.101286,800,119.225899
688.909297,800,121.542501
677.041496,800,136.170069
665.625842,800,138.597406
692.849818,800,141.094228
686.594613,800,143.548835
698.820563,800,146.10028
723.494985,800,148.782488
720.243237,800,162.928202
722.540078,800,165.667563
686.336089,800,168.130964
652.420137,800,170.684397
683.434495,800,173.250092
693.217971,800,175.661586
697.354925,800,187.653856
694.111193,800,190.10771
701.188555,800,192.483721
686.785941,800,194.862859
695.584557,800,197.265445
722.687742,800,199.700283
663.425719,800,212.510499
695.784795,800,214.909437
697.517992,800,217.28467
681.611903,800,219.582905
698.960088,800,221.923507
682.497404,800,224.194325
695.118957,800,226.452367
679.497375,800,237.698799
687.96497,800,240.045783
681.45626,800,242.408042
682.497759,800,244.762636
663.084024,800,247.076202
679.271496,800,249.453012
681.940833,800,261.20753
690.005384,800,263.550022
694.166967,800,265.915524
708.433764,800,268.337747
698.538707,800,270.881319
701.986507,800,273.186346
691.440417,800,285.676988
664.113594,800,288.002722
699.386162,800,290.431236
692.84775,800,292.821015
694.378601,800,295.296015
677.335214,800,298.148752
695.57605,800,309.935035
659.813442,800,312.558294
691.761645,800,315.052121
683.423412,800,317.846928
666.086109,800,320.315486
708.050007,800,322.830058
706.562772,800,325.172931
679.692521,800,339.488697
696.488932,800,341.792692
686.569701,800,344.059169
692.284681,800,346.406793
697.511,800,348.737507
708.868233,800,351.085214
678.135576,800,365.592354
706.100505,800,368.013817
710.595017,800,370.496435
688.038406,800,372.930515
699.049594,800,375.39203
699.694715,800,377.796793
692.143179,800,390.217961
726.325324,800,392.546365
683.919953,800,395.056726
689.610866,800,397.424078
692.870254,800,399.802726
680.761919,800,402.221998
702.929655,800,418.484537
693.180183,800,420.921073
166.794852,665,423.155519
715.076267,800,425.344072
705.357234,800,427.734814
-175.974056,290,429.514337
673.091642,800,430.984608
696.08313,800,441.418018
693.943575,800,443.751555
-211.566789,260,445.412487
671.390514,800,446.793301
694.557585,800,449.167639
686.394147,800,451.6206
665.406635,800,454.068906
673.891977,800,469.062427
700.189152,800,471.529676
673.95336,800,473.946057
693.611378,800,476.417974
700.361672,800,479.074709
678.139236,800,481.613582
700.132258,800,484.297314
680.170597,800,501.064199
641.638658,800,503.911288
667.289785,800,506.290246
669.756371,800,508.654922
721.768272,800,511.093635
681.359126,800,513.494286
674.683298,800,525.396451
668.105606,800,527.747107
669.442265,800,530.013372
667.607822,800,532.292814
675.688764,800,534.595897
666.384547,800,536.913659
709.260134,800,550.332231
683.043497,800,552.696534
668.861044,800,554.958834
660.239179,800,557.207157
691.36717,800,559.483736
703.052139,800,561.838409
668.167092,800,576.683327
669.421045,800,579.017716
696.074788,800,581.454267
685.415512,800,584.084833
619.389621,800,586.543564
652.404054,800,588.845015
-233.096358,261,590.44925
126.477893,632,591.555622
677.481825,800,603.270936
648.228485,800,605.603295
689.610728,800,608.04257
648.038613,800,610.49425
708.899516,800,613.04733
693.049303,800,615.881474
698.187915,800,631.774278
650.133412,800,634.307051
654.924134,800,637.013516
680.42557,800,639.56117
653.784869,800,641.952847
673.482096,800,644.253638
-96.154673,424,657.717713
665.913843,800,659.432223
622.151163,800,661.818163
664.562747,800,664.210264
685.470313,800,666.680094
686.593524,800,668.990236
720.401095,800,671.38069
677.282207,800,683.192938
-52.602348,450,685.133343
677.702329,800,686.884646
675.406388,800,689.201727
675.687495,800,691.542304
-210.624198,268,693.259264
672.487345,800,694.643051
162.027473,666,706.069641
628.877905,800,708.287131
673.292018,800,710.51392
672.320632,800,712.80509
696.507453,800,715.216486
651.97177,800,717.458655
676.294636,800,719.825766
690.375763,800,733.384948
711.23735,800,735.871474
674.258091,800,738.291414
689.259285,800,740.737881
714.54616,800,743.132934
699.698148,800,745.748703
676.144992,800,758.061481
