#{"t_start": 1636912553.6798615, "env_id": null}
r,l,t
-403.064008,30,0.044881
-425.124512,223,0.536427
-444.121579,328,1.93299
-446.520996,441,3.872683
-3.216042,800,6.967546
-408.360398,60,10.036493
-405.803276,42,10.321121
-404.103084,32,10.517346
-402.702835,27,10.669683
-413.655689,118,10.943206
-404.451968,41,11.431442
-407.370512,60,11.681538
-404.309791,36,11.950143
-404.060996,32,12.122661
-55.242149,800,13.440999
8.918427,800,17.685212
-29.014712,800,22.077825
-12.752366,800,40.688316
33.110815,800,45.022997
45.065305,800,49.217823
27.102609,800,53.387323
1.134694,800,57.491282
18.956078,800,61.853903
54.894749,800,79.412878
71.601508,800,83.65109
76.44888,800,88.136667
101.646116,800,92.493103
89.45481,800,96.848051
91.426446,800,101.247238
116.754092,800,119.310675
112.526565,800,123.587276
132.930843,800,127.843452
162.09994,800,132.116357
165.977951,800,136.446722
199.25831,800,140.83379
258.734741,800,145.253225
234.923702,800,162.912912
278.932162,800,167.330438
328.011672,800,171.664557
299.048466,800,175.969425
378.229037,800,180.265575
417.117498,800,184.533144
340.523045,800,201.288711
402.068714,800,205.597179
426.869594,800,209.860742
397.712906,800,214.17645
400.471572,800,218.483088
430.573262,800,222.791724
397.498942,800,240.626974
418.696463,800,245.002256
406.060021,800,249.447216
375.839385,800,253.850946
425.816943,800,258.173842
435.69686,800,262.531945
423.960337,800,278.906769
415.34677,800,283.292983
428.528592,800,287.67653
423.079577,800,291.959481
425.387538,800,296.302281
420.194906,800,300.628806
481.626522,800,304.976419
432.301162,800,321.765335
479.884782,800,326.077114
427.746538,800,330.397357
446.758353,800,334.693976
457.142035,800,339.003897
477.610915,800,343.326521
454.606574,800,362.892939
496.541166,800,367.248868
513.250901,800,371.654826
529.151115,800,376.008963
575.037897,800,380.670913
562.235366,800,385.237097
567.80079,800,407.959359
599.418402,800,412.691889
570.796519,800,417.287296
570.122718,800,421.837018
613.780265,800,426.425314
616.606407,800,431.024887
634.958311,800,451.147198
605.808171,800,455.788288
566.908615,800,460.493484
631.56149,800,465.106872
652.573061,800,469.83636
600.664979,800,474.515217
622.961042,800,479.186031
583.934417,800,491.425918
-402.967985,27,494.594243
626.689753,800,496.250373
576.375638,800,500.897618
618.07666,800,505.6114
610.060444,800,510.246122
585.753654,800,514.862369
636.428318,800,534.510851
611.803559,800,539.195965
559.669279,800,543.818415
612.574659,800,548.460889
640.841387,800,553.077024
582.700189,800,557.743756
598.7586,800,576.939881
631.184897,800,581.71909
553.458144,800,586.344948
632.564716,800,591.148364
606.020104,800,595.956681
630.387796,800,600.908632
628.613599,800,621.227875
616.505391,800,625.962165
633.492002,800,630.688005
636.416574,800,635.468592
603.00803,800,640.185749
604.972633,800,644.934996
648.615969,800,649.67628
597.771586,800,669.540994
600.990965,800,674.310325
606.675418,800,679.188961
594.478215,800,684.169117
552.361221,800,688.869019
644.121684,800,693.629911
590.513738,800,714.199996
632.380107,800,719.037672
651.233665,800,724.018567
635.595273,800,728.805222
623.282839,800,733.579845
607.27988,800,738.499073
601.39263,800,760.396096
621.56196,800,765.168629
615.734353,800,769.93631
612.569834,800,774.791292
635.431817,800,779.500948
627.100429,800,784.266485
546.811961,800,806.890486
613.478516,800,811.775579
619.075832,800,816.5944
625.930716,800,821.599696
574.285085,800,826.383745
593.978524,800,831.176109
-96.784484,488,835.280617
609.688495,800,853.355782
623.860678,800,858.175816
623.401486,800,862.880517
605.040923,800,867.618127
577.679968,800,872.395531
595.116126,800,877.18479
597.67824,800,898.613225
638.201777,800,903.433564
657.925855,800,908.216853
596.544956,800,913.038671
641.793554,800,917.733974
611.843869,800,922.471089
634.63006,800,927.15831
-97.370381,489,948.651933
624.654745,800,952.074365
-280.621644,276,955.899784
605.132776,800,958.591558
612.922773,800,963.328667
639.067085,800,968.114502
643.818938,800,972.971192
638.952505,800,994.037824
644.784675,800,998.712804
-301.617217,263,1002.356567
573.965141,800,1004.86837
632.960497,800,1009.542141
587.13181,800,1014.223726
620.507042,800,1018.883317
626.971001,800,1037.036507
599.978647,800,1041.738901
606.494151,800,1046.600842
630.263226,800,1051.522247
635.435266,800,1056.349881
612.155133,800,1061.056223
598.536345,800,1081.509535
657.407631,800,1086.37799
613.02439,800,1091.159081
593.591768,800,1095.834093
601.035044,800,1100.561326
624.861054,800,1105.218153
625.203144,800,1125.428387
617.609652,800,1130.071914
628.967741,800,1134.764593
610.716049,800,1139.430632
641.373832,800,1144.151686
590.006915,800,1148.783788
593.228557,800,1173.135142
610.301399,800,1177.851079
631.850627,800,1182.465398
616.276885,800,1187.090178
640.789971,800,1191.901978
645.521416,800,1196.825037
601.97563,800,1201.479328
568.417233,800,1218.821751
608.591998,800,1223.436486
579.459797,800,1228.071816
579.540569,800,1232.727886
601.604608,800,1237.366015
625.056949,800,1242.081125
592.730748,800,1259.256273
584.811459,800,1264.088148
629.162971,800,1269.069948
600.003444,800,1273.70448
622.883211,800,1278.407964
625.396676,800,1283.139279
591.343107,800,1300.515226
