#{"t_start": 1634151166.712592, "env_id": null}
r,l,t
-402.396699,19,0.038864
-403.680452,39,0.177763
-407.998787,77,0.465692
-400.323196,124,0.965856
-1.674426,800,3.108413
-404.342041,179,6.123004
24.286601,800,8.081769
-363.557425,363,11.526313
-393.16607,128,13.081316
-401.949642,19,13.568964
-400.507182,112,13.85056
-401.59223,57,14.355625
-401.734522,26,14.612888
-390.232947,152,14.989889
-402.953133,97,15.719227
-397.079109,141,16.313442
-40.67496,800,18.499518
49.956413,800,22.622584
191.90344,800,41.770249
167.384052,800,45.997599
307.702469,800,50.650053
224.438448,800,55.533379
382.224548,800,59.940118
461.055883,800,64.564815
436.724652,800,83.698708
411.579555,800,88.416082
361.473762,800,93.138567
384.448486,800,97.636776
347.307523,800,102.028999
386.594998,800,106.559381
389.555914,800,127.696474
425.85448,800,132.31709
398.281334,800,136.958306
427.871284,800,141.699822
378.064384,800,146.214565
398.66147,800,150.488117
365.236774,800,154.842987
-235.112447,429,176.80931
343.47562,800,179.888164
-307.084525,239,183.151941
381.223539,800,185.591756
380.395415,800,189.994597
-289.289115,266,193.371037
-208.697481,479,195.244129
388.715735,800,198.503178
393.840537,800,218.289311
391.763863,800,222.84787
393.581972,800,227.331528
357.061989,800,231.812587
364.097553,800,236.594934
392.555808,800,241.082067
432.568388,800,262.735414
469.261219,800,267.141267
445.132669,800,271.503488
400.389341,800,275.990055
386.423517,800,280.582045
402.953849,800,284.998303
-226.114205,397,288.603131
530.831633,800,305.474673
475.000745,800,309.835667
512.185701,800,314.349269
516.866998,800,318.807963
519.276772,800,323.295409
563.95486,800,327.737355
638.79935,800,350.993395
593.593327,800,355.709196
567.462946,800,360.246989
636.686997,800,364.862279
662.20425,800,369.672818
670.052299,800,374.55277
653.422277,800,379.317435
701.308664,800,403.06504
688.311852,800,407.87256
651.712853,800,412.4753
705.061044,800,417.115692
717.845029,800,421.823488
710.949081,800,426.644925
725.681391,800,448.250414
686.485017,800,453.005867
222.404483,715,457.57774
680.247383,800,461.99753
665.583299,800,466.621102
686.846751,800,471.425025
712.101871,800,494.551906
683.833119,800,499.268471
698.687087,800,504.000198
696.753287,800,508.778956
723.315046,800,513.663141
697.571945,800,518.587741
707.899409,800,540.210806
683.215844,800,544.903065
689.636471,800,549.609585
716.968338,800,554.387652
728.051913,800,559.173555
706.242047,800,564.072196
706.838204,800,568.870843
685.083704,800,592.314774
661.837729,800,596.978937
718.440122,800,601.972349
635.402136,800,606.710895
723.743777,800,611.556719
706.207354,800,616.346631
733.018325,800,639.361988
699.81997,800,643.999524
682.828731,800,648.767739
698.334919,800,653.577393
720.330128,800,658.31101
685.36994,800,663.24523
676.387843,800,687.237414
681.265187,800,691.894727
723.282286,800,696.6284
726.997381,800,701.446495
681.996661,800,706.259921
718.678287,800,711.026675
710.196421,800,738.173798
-266.349712,215,741.73281
691.517733,800,744.324858
677.16723,800,749.536108
710.047215,800,754.382198
717.381233,800,759.410492
714.917815,800,764.232649
-234.898877,246,767.86898
701.872184,800,787.654504
690.89066,800,792.424845
696.935493,800,797.004101
683.418793,800,801.93253
728.908153,800,806.816096
-50.177102,434,810.716241
673.388582,800,814.119642
669.414093,800,837.685905
676.882379,800,842.564468
717.353277,800,847.278798
695.92343,800,851.920763
712.879049,800,856.806786
709.3718,800,861.781974
696.427409,800,885.605186
698.332245,800,890.357907
682.863724,800,895.134458
-315.745129,150,898.379161
708.048641,800,900.762159
694.456864,800,905.390694
680.445562,800,910.010561
693.070278,800,929.375176
-401.772712,15,932.368772
656.707575,800,934.03238
686.124999,800,938.640877
707.772455,800,943.457603
709.983261,800,948.409382
690.384328,800,953.061654
685.104912,800,976.121666
706.202227,800,980.940658
708.070212,800,985.827289
679.818205,800,990.487082
689.808984,800,995.063783
678.505355,800,1000.021593
696.699612,800,1004.714133
714.172522,800,1027.244724
692.840926,800,1031.962391
691.481175,800,1036.578926
678.461453,800,1041.339276
708.827534,800,1045.988945
673.6699,800,1050.776628
688.750668,800,1070.95012
713.686615,800,1075.899974
714.540611,800,1080.481111
681.608718,800,1085.233637
697.953642,800,1089.999839
672.259386,800,1094.827312
679.66563,800,1114.935821
655.934253,800,1119.695779
87.961628,594,1124.005006
679.771435,800,1127.965166
714.527847,800,1132.884399
633.399522,800,1138.053252
658.43318,800,1142.77351
658.865288,800,1168.115858
646.306994,800,1172.737247
680.281816,800,1177.296364
682.069673,800,1182.016094
7.564295,520,1186.069606
662.944563,800,1189.730751
686.115085,800,1207.693453
685.743458,800,1212.28735
662.940054,800,1216.915543
645.880285,800,1221.509787
140.724516,654,1225.945045
682.401309,800,1230.028457
654.007709,800,1234.727473
652.107509,800,1261.095289
671.550311,800,1265.625192
668.39616,800,1270.342495
55.332614,545,1274.321314
678.668368,800,1278.126145
650.604345,800,1282.851643
700.848981,800,1305.51957
664.76697,800,1310.123326
40.530475,547,1314.218115
683.189625,800,1317.956722
646.714037,800,1322.794538
671.013437,800,1327.498351
648.695391,800,1332.669212
632.2071,800,1354.568855
648.30692,800,1359.411825
672.729441,800,1364.141396
674.630842,800,1368.85791
-145.14357,346,1372.612379
674.266147,800,1375.607371
631.810749,800,1380.406955
-402.833058,40,1384.110135
683.367466,800,1404.215773
