#{"t_start": 1634143104.4136174, "env_id": null}
r,l,t
-407.805196,72,0.134661
-132.350728,800,2.168142
-30.320488,800,7.027838
-546.264225,708,11.477618
-37.800478,800,15.86337
-411.52865,127,19.268034
-7.572992,800,21.240671
26.209335,800,25.952314
9.115265,800,47.232398
20.316514,800,52.079301
-10.2559,800,57.103446
8.908883,800,62.186327
4.265622,800,66.92436
-1.631273,800,71.842301
3.892587,800,93.583204
34.065027,800,98.92726
37.652903,800,103.85722
28.683437,800,108.646296
20.868133,800,113.434749
4.492884,800,118.238282
53.695794,800,139.771727
58.601712,800,144.417355
71.930605,800,149.178813
66.35454,800,153.886754
66.067053,800,158.515106
85.515188,800,163.177298
74.157778,800,181.973675
76.326768,800,186.730993
78.276143,800,191.338037
84.752427,800,195.99233
82.263188,800,200.611445
87.179362,800,205.203634
75.634658,800,209.914901
82.492347,800,228.156654
79.369405,800,232.848993
75.093782,800,237.465479
99.430718,800,242.100609
101.735102,800,246.760828
92.888315,800,251.396237
96.34704,800,267.983693
108.800759,800,272.768485
96.021595,800,277.53017
108.019756,800,282.223347
107.501511,800,286.787613
114.727105,800,291.330389
105.882802,800,309.630448
117.372649,800,314.3563
120.226721,800,318.846166
122.598196,800,323.499451
120.075092,800,328.004385
110.08728,800,332.861333
108.118837,800,349.97126
118.496292,800,354.479623
125.242123,800,359.021114
131.44585,800,363.538497
120.502457,800,368.252068
125.494232,800,372.979637
121.536634,800,377.63922
116.5418,800,394.692415
115.688652,800,399.262794
124.677379,800,403.986557
117.408238,800,408.521197
117.78439,800,413.126365
127.318638,800,417.679265
125.075666,800,434.273671
115.67571,800,438.896375
134.706478,800,443.659932
126.115569,800,448.223534
132.080634,800,453.020841
140.308113,800,457.572948
132.88677,800,474.017277
112.845914,800,479.200072
134.781194,800,483.970391
123.532301,800,488.632396
132.535807,800,493.288137
122.420021,800,497.976326
149.262417,800,514.069488
122.449464,800,518.808577
132.412557,800,523.485872
127.559054,800,528.244789
127.769711,800,532.949285
119.174794,800,537.706131
133.222232,800,542.409429
126.573608,800,558.672523
133.88252,800,563.458991
125.146347,800,568.266679
133.526861,800,573.039885
150.29741,800,577.904185
133.217809,800,582.637142
134.994547,800,598.740931
139.758477,800,603.608567
127.780075,800,608.435637
136.305876,800,613.246405
122.973512,800,618.262256
122.934576,800,623.256888
134.044955,800,639.216425
126.678495,800,644.071426
140.606922,800,648.775962
134.462325,800,653.562743
144.315991,800,658.313385
125.331864,800,663.207429
143.550809,800,679.450881
132.680665,800,684.293758
132.476274,800,689.159977
132.648175,800,693.907185
138.529321,800,698.652519
139.399712,800,703.56046
135.457458,800,708.388457
139.984586,800,724.012427
132.028583,800,728.774304
142.990385,800,733.4803
131.158918,800,738.318273
132.721927,800,743.411562
140.324308,800,749.162116
128.245674,800,764.894354
134.153052,800,769.621265
141.825947,800,774.292542
132.145465,800,779.107326
138.077652,800,783.918141
127.049542,800,788.668274
138.539251,800,804.993864
137.410811,800,809.792503
141.571448,800,814.616561
138.047277,800,819.669101
135.259086,800,824.744221
125.589114,800,829.557918
136.594228,800,845.360113
142.200733,800,850.065459
132.624195,800,855.111537
140.541178,800,859.844688
137.519069,800,864.734854
141.484386,800,869.597225
123.299357,800,874.423933
135.65757,800,890.229917
134.18734,800,895.47974
131.827018,800,900.275313
116.755872,800,905.176914
140.878919,800,910.008173
120.87114,800,915.00569
131.993153,800,930.407047
122.927583,800,935.189861
134.572842,800,939.933279
137.478501,800,944.672235
139.784465,800,949.426101
129.915188,800,954.293709
139.954813,800,969.895239
136.192932,800,974.832165
139.317296,800,979.680848
130.576772,800,984.728514
133.640519,800,989.829056
142.964518,800,994.984729
130.963037,800,1010.718624
142.625455,800,1015.664024
134.554423,800,1020.456393
129.787466,800,1025.429684
141.620179,800,1030.140623
131.716445,800,1034.946022
132.543847,800,1039.841011
130.468232,800,1055.374098
133.02549,800,1060.153896
138.505283,800,1064.872455
129.915474,800,1069.866379
129.945624,800,1074.560244
138.596235,800,1079.32258
134.342357,800,1094.457801
134.930835,800,1099.461499
144.665505,800,1104.291137
133.166695,800,1109.109397
127.21205,800,1113.960018
133.758175,800,1118.749638
142.263545,800,1134.231991
132.021937,800,1139.034156
133.873913,800,1143.82479
140.518839,800,1148.700629
130.900003,800,1153.565252
142.705017,800,1158.447519
139.272444,800,1173.618239
138.764698,800,1178.572358
136.21357,800,1183.535201
129.984423,800,1188.371937
138.911022,800,1193.136552
134.716509,800,1197.99546
121.028633,800,1202.851377
129.766118,800,1217.918814
143.035627,800,1222.579448
133.245977,800,1227.740295
142.495628,800,1232.810848
135.075401,800,1237.654877
140.297071,800,1242.571638
138.78097,800,1258.019529
