#{"t_start": 1635886049.8235228, "env_id": null}
r,l,t
-403.821208,37,0.061339
-46.575815,800,1.681861
-417.427407,400,5.459906
-499.708913,631,8.28249
-80.155786,800,12.053401
-12.669447,800,16.975827
53.662825,800,21.522109
275.058752,800,37.897587
-405.770171,45,41.256312
-407.937869,80,41.572015
198.820326,800,43.190997
-403.912037,259,46.862556
-414.155679,255,48.391049
-395.263066,535,50.409756
-399.61971,182,52.918659
-401.815746,119,53.844654
-402.458889,146,54.554308
-393.735083,324,55.723969
-391.504216,295,57.582278
74.126085,800,60.332782
143.332164,800,65.063176
193.087277,800,83.502517
216.760812,800,88.19102
313.351788,800,92.844983
425.302818,800,97.448744
388.808256,800,102.164946
370.526925,800,106.886334
369.298757,800,124.457795
380.11483,800,129.159904
395.068315,800,133.8329
406.20958,800,138.504535
399.48978,800,143.22234
400.9823,800,148.095356
348.487024,800,165.08754
461.901134,800,169.762757
430.492622,800,174.428308
461.404949,800,179.032345
467.365631,800,183.661686
490.936548,800,188.351427
461.955958,800,193.086015
517.622902,800,207.836823
498.651821,800,212.671266
482.304264,800,217.540436
486.392724,800,222.324706
508.652618,800,227.260527
501.404897,800,232.077716
514.585026,800,251.72004
494.728888,800,256.593102
434.878873,800,261.362198
473.056007,800,266.140811
511.602123,800,270.982218
570.134103,800,275.853689
579.39126,800,295.576809
586.791086,800,300.601495
563.268167,800,305.538541
547.941076,800,310.425497
592.935355,800,315.319756
580.381598,800,320.251165
610.098516,800,340.249886
599.435369,800,345.305116
310.318819,800,350.218832
534.483595,800,355.135457
601.279754,800,360.09727
555.207668,800,364.97651
596.03093,800,369.9154
594.783454,800,389.458341
623.573257,800,394.425951
609.350467,800,399.307678
566.400518,800,404.257703
594.296907,800,409.16518
594.337351,800,414.126752
609.866999,800,434.610534
619.096335,800,439.590997
557.503866,800,444.628335
567.876512,800,449.58867
625.733609,800,454.583741
613.266906,800,459.586798
583.253779,800,480.23503
561.65735,800,485.215917
569.28758,800,490.165249
557.279699,800,495.142185
591.832475,800,500.186662
604.353519,800,505.253158
219.557598,790,524.571363
585.252279,800,529.664782
619.651191,800,534.737738
620.434069,800,539.872165
570.590121,800,544.982569
649.526484,800,550.100644
600.9365,800,555.170966
586.137994,800,578.115047
605.379467,800,583.21552
619.825128,800,588.339744
607.55866,800,593.465577
592.805428,800,598.592513
638.285298,800,603.906636
598.709886,800,623.826599
589.881616,800,629.017933
589.219497,800,634.161008
603.48092,800,639.344768
585.603919,800,644.433054
617.097581,800,649.556928
560.233407,800,669.078515
610.682618,800,674.300269
613.596943,800,679.797476
621.4041,800,684.991766
603.711208,800,690.114516
589.144197,800,695.135555
645.340788,800,714.754672
641.649236,800,719.876808
612.476301,800,724.967933
628.789893,800,730.135783
636.948414,800,735.365391
626.936734,800,740.514796
643.860695,800,745.663958
660.50605,800,765.813321
595.83211,800,770.930028
631.966906,800,776.100157
586.912385,800,781.220005
634.550328,800,786.436652
625.086444,800,791.652623
650.42622,800,810.945072
603.063438,800,816.126225
608.219314,800,821.299984
651.900053,800,826.443091
631.147347,800,831.564633
623.904462,800,836.73513
626.885329,800,856.066773
625.869382,800,861.144597
621.430316,800,866.346501
605.717828,800,871.490596
601.627344,800,876.618239
612.527073,800,881.712023
637.608491,800,901.209674
631.472208,800,906.523135
622.303702,800,911.656878
621.439745,800,916.744196
630.401115,800,921.921865
619.155034,800,927.202274
607.754664,800,932.351964
607.768779,800,951.70099
585.395249,800,956.772183
643.872223,800,962.004128
614.459087,800,967.077228
622.650716,800,972.144333
614.850428,800,977.198568
633.465462,800,999.415783
581.323435,800,1004.484694
616.851368,800,1009.712981
622.751292,800,1014.81652
628.434513,800,1020.020384
569.452062,800,1025.082177
577.065618,800,1051.820909
608.036702,800,1057.079207
624.302479,800,1062.359461
590.925714,800,1067.5603
601.18334,800,1072.81049
624.074205,800,1077.913827
611.926311,800,1099.458977
626.194997,800,1104.598312
631.155351,800,1109.914549
610.098765,800,1115.28888
606.791861,800,1120.545969
607.573523,800,1125.716463
611.592961,800,1130.906164
625.030137,800,1151.928838
611.588427,800,1157.092191
604.74438,800,1162.227289
594.282511,800,1167.333997
589.090811,800,1172.538632
632.292085,800,1177.600666
586.604596,800,1196.564533
589.91999,800,1201.722384
583.308017,800,1206.836645
590.38324,800,1211.891042
585.752342,800,1217.017906
621.025615,800,1222.096412
584.000719,800,1240.774902
589.568401,800,1245.866012
619.266259,800,1250.963299
617.955324,800,1256.006875
637.437784,800,1261.164645
593.853612,800,1266.311424
599.214365,800,1288.521221
585.209861,800,1293.623776
586.213669,800,1298.769447
571.716004,800,1303.921163
624.991045,800,1308.945731
603.038682,800,1314.063723
605.671607,800,1319.228559
618.28024,800,1339.503835
606.200092,800,1344.635051
592.853701,800,1349.749062
610.847923,800,1354.935998
597.76087,800,1360.173446
-44.658932,542,1364.797621
634.017707,800,1383.364654
