#{"t_start": 1634149760.6969864, "env_id": null}
r,l,t
-402.736604,24,0.042987
-402.528148,25,0.164665
-436.587465,379,1.34763
11.624677,800,4.306768
-402.376167,21,7.173788
-403.997731,36,7.30955
-468.086872,317,8.011518
-402.143596,22,9.242226
-403.695893,27,9.367615
-402.942603,25,9.510473
-406.673731,43,9.681044
-412.780145,74,10.01148
-408.243235,45,10.357203
-474.458212,505,11.70884
-427.391769,254,13.959285
-406.219407,65,14.963892
-411.214675,110,15.41282
-419.511434,166,16.135226
-408.372285,161,17.105369
-45.886562,800,19.568717
-10.358976,800,23.92026
-329.350254,383,32.835804
96.992593,800,35.865575
100.414686,800,40.240802
122.382614,800,44.784832
104.963044,800,49.559132
-278.389124,506,53.755575
238.098904,800,57.268106
239.238752,800,79.400102
263.073982,800,83.900479
325.975459,800,88.483892
350.618817,800,93.096607
358.724322,800,97.720253
378.38862,800,102.372446
382.636646,800,120.884522
367.38679,800,125.326705
406.674393,800,129.819756
377.634654,800,134.304528
390.484578,800,138.76091
384.419427,800,143.419412
363.378891,800,147.959848
421.424487,800,169.834835
424.885325,800,174.543178
375.039916,800,179.26143
404.720739,800,183.691852
347.520628,800,188.293726
346.718635,800,193.063172
-299.264183,281,201.616813
327.988765,800,204.23327
360.676454,800,208.999707
-325.726701,223,212.837418
-292.284305,267,214.344746
366.983234,800,217.210587
-191.560398,595,221.748889
339.608778,800,226.068104
404.203894,800,245.420097
436.016333,800,250.009374
447.49003,800,254.567676
389.906942,800,259.02964
407.033823,800,263.551909
462.842123,800,267.887095
399.859121,800,272.33034
387.869615,800,293.114672
414.710988,800,297.608428
438.433141,800,302.087481
443.964806,800,307.196918
386.630748,800,311.649861
427.467084,800,316.114631
396.389373,800,333.563446
447.323454,800,338.104722
481.517361,800,342.592585
497.129244,800,346.992927
19.116474,654,351.164813
534.752416,800,355.057268
520.970188,800,371.999389
551.898065,800,376.668629
519.472249,800,381.196536
598.537141,800,385.704421
545.282459,800,390.212641
618.203355,800,394.957777
578.411624,800,414.744148
644.581558,800,419.55559
651.557379,800,424.192699
-32.422329,509,428.315828
667.610284,800,432.08507
669.917049,800,436.880367
651.65318,800,441.874161
675.960552,800,465.572114
687.752313,800,470.423342
637.209487,800,475.30233
666.83013,800,480.207788
699.821749,800,485.208565
662.769117,800,490.050565
691.466355,800,513.102768
638.294725,800,517.925358
678.990842,800,522.787693
682.063388,800,527.676368
681.06904,800,532.599027
684.653548,800,537.506403
688.348889,800,542.401686
673.371439,800,564.537651
668.643102,800,569.373351
676.184356,800,574.293255
673.295345,800,579.488635
671.09241,800,584.270735
699.39196,800,589.272041
683.41823,800,610.033889
680.571064,800,614.960681
703.89498,800,619.834237
666.197784,800,624.808999
677.848903,800,629.777739
667.895304,800,634.848763
676.428867,800,658.309353
666.330571,800,663.364751
695.75982,800,668.262658
688.267166,800,673.303583
688.846971,800,678.243887
694.894115,800,683.098913
678.300429,800,705.532996
671.27948,800,710.391636
689.352477,800,715.32334
682.788383,800,720.195427
648.643509,800,725.240106
685.589355,800,730.1559
678.438996,800,735.02539
674.963827,800,757.170306
686.965992,800,762.100298
663.064214,800,767.190415
679.511259,800,772.491582
619.353267,800,777.625035
-118.766299,400,781.551762
685.04932,800,803.865691
655.513538,800,808.851446
676.921058,800,813.757167
679.095344,800,818.630886
685.397209,800,823.660915
671.504976,800,828.611542
637.465406,800,833.586544
645.075707,800,859.859756
672.801297,800,864.634746
650.052963,800,869.451651
606.924645,800,874.218893
666.605576,800,879.007374
658.538363,800,883.847617
619.19384,800,907.252089
666.134022,800,911.967721
668.563684,800,916.961164
660.275012,800,921.777947
663.870122,800,926.584846
674.70724,800,931.382386
652.308592,800,952.329405
663.935034,800,956.975527
671.160972,800,961.698354
666.085167,800,966.384207
673.441042,800,971.367522
666.649875,800,976.347497
662.955125,800,998.88513
641.780771,800,1003.765687
627.492069,800,1008.664958
639.245689,800,1013.56255
686.645825,800,1018.538907
678.019132,800,1023.353347
671.971049,800,1028.374072
658.638964,800,1050.565034
659.10983,800,1055.357267
679.986509,800,1060.344436
657.486895,800,1065.11423
647.176919,800,1070.087285
671.029336,800,1074.871567
654.773354,800,1103.830373
641.359198,800,1108.683756
692.61966,800,1113.906222
684.076732,800,1118.683443
651.973319,800,1123.501828
688.352497,800,1128.361544
647.417143,800,1156.240018
692.721884,800,1161.242914
-272.564078,223,1165.340768
692.492391,800,1167.978459
684.568694,800,1172.686394
695.625502,800,1177.692927
656.814311,800,1182.568694
684.831607,800,1207.933937
666.34127,800,1212.697732
666.137649,800,1217.622936
670.272583,800,1222.359256
669.465885,800,1227.09049
665.158318,800,1232.152134
634.952351,800,1252.831252
653.394106,800,1257.46975
641.17789,800,1262.435871
33.698394,574,1266.787097
663.390963,800,1270.749595
687.578707,800,1275.486805
663.318271,800,1280.200627
656.745377,800,1305.916086
641.486391,800,1310.698401
659.390971,800,1315.630882
660.623174,800,1320.550961
662.133008,800,1325.487244
666.571004,800,1330.727526
630.664874,800,1350.885202
668.666708,800,1355.655224
680.495702,800,1360.614687
658.807107,800,1365.335512
652.26817,800,1370.238971
651.681705,800,1374.963546
692.597142,800,1402.780058
