#{"t_start": 1635872000.9776337, "env_id": null}
r,l,t
-403.534115,30,0.020453
-475.474528,549,0.477261
-32.560858,800,7.085095
2.140941,800,14.708155
-13.716599,800,22.66465
-14.447156,800,31.700853
-7.496346,800,39.31362
-404.1131,44,45.785613
65.424174,800,49.511058
-404.121105,41,56.076138
-412.646667,192,56.622084
-418.032962,260,58.701447
-406.841992,80,60.748758
-433.730161,394,61.97231
-410.424251,208,65.770741
-407.248085,124,68.102194
-406.959279,104,69.180319
-410.595717,130,70.251517
-408.808075,134,71.801568
-405.335013,268,73.12062
48.710507,800,76.810444
103.573098,800,85.991178
71.299139,800,94.418074
132.829307,800,109.443564
154.08125,800,116.734272
175.680566,800,125.235851
141.685538,800,132.503713
119.070072,800,139.952414
1.511189,800,147.56952
59.103935,800,161.074614
211.286331,800,169.648743
181.956731,800,177.04513
202.489162,800,186.665193
343.43936,800,194.762614
378.217177,800,204.088967
383.602871,800,215.558021
419.717572,800,224.186506
398.075648,800,232.147783
-9.853652,800,239.932646
-4.410798,800,248.59392
-0.908991,800,257.487397
185.69182,800,265.190891
352.637574,800,278.900591
368.691655,800,286.582468
-30.570907,800,294.316606
-57.170428,800,302.305484
336.912679,800,310.403183
93.116254,800,319.255697
377.048187,800,333.179565
377.202642,800,341.726428
389.26929,800,349.398987
394.577894,800,356.925649
394.667057,800,365.793406
392.863707,800,374.509255
395.512721,800,386.516413
414.502211,800,395.309992
388.829903,800,402.451301
316.147671,800,410.053782
293.043701,800,417.862654
-5.349339,800,425.41885
-9.121479,800,438.516972
-21.769326,800,446.397099
-34.585927,800,454.48846
-40.993009,800,462.635311
327.687669,800,471.065401
351.270821,800,479.079113
369.440857,800,487.851711
364.809831,800,499.143463
363.496969,800,506.398379
376.837665,800,516.957617
381.076329,800,524.690781
412.83338,800,532.390703
394.389554,800,539.991801
396.756216,800,551.109627
411.926619,800,559.768075
338.213984,800,568.414505
364.833637,800,577.194625
293.03544,800,586.58987
420.973467,800,594.866369
422.87108,800,607.138453
406.666646,800,614.870708
416.11381,800,624.560863
425.154266,800,635.785977
415.052045,800,644.094227
398.795534,800,654.699089
391.834947,800,668.130991
410.130578,800,676.491451
427.710763,800,685.557142
426.05162,800,692.825649
427.990874,800,701.590741
445.954304,800,711.123128
442.354119,800,720.381968
444.161125,800,733.143611
441.329583,800,742.142729
452.59543,800,751.376946
440.932839,800,759.38413
462.391921,800,769.22344
471.347109,800,777.556268
473.676162,800,792.163056
472.798753,800,802.025266
499.160896,800,811.538062
557.200192,800,820.642021
552.9859,800,829.611059
558.238393,800,838.249218
639.27786,800,852.063311
629.306656,800,859.95315
613.414001,800,867.526113
550.959312,800,875.985126
568.045935,800,887.222593
602.111746,800,898.650531
616.468146,800,910.923861
627.943524,800,918.897423
615.646946,800,926.78144
581.079764,800,935.253235
598.299655,800,943.800164
619.759834,800,951.969622
640.627004,800,959.598603
577.073604,800,972.409561
583.143972,800,980.999108
622.984176,800,990.299121
552.883353,800,999.124826
636.671589,800,1006.254048
613.539898,800,1016.740763
625.500283,800,1030.706633
612.580076,800,1038.65171
554.642444,800,1046.914894
600.736077,800,1058.286752
545.736746,800,1068.37227
641.263624,800,1078.385818
613.02078,800,1094.323436
614.839448,800,1103.213883
615.301157,800,1113.007745
645.359091,800,1123.456182
605.818567,800,1132.185492
585.910452,800,1140.166411
593.974596,800,1151.550079
615.549339,800,1160.812082
605.931885,800,1170.405926
558.420371,800,1180.189859
607.420081,800,1190.518341
606.627095,800,1198.751548
610.389399,800,1207.203692
595.68043,800,1221.284281
626.143133,800,1230.538918
587.916769,800,1239.00237
638.062611,800,1248.548866
602.462699,800,1258.573682
601.91325,800,1266.998731
586.936058,800,1280.3945
623.228299,800,1289.321094
614.637539,800,1297.884047
636.010354,800,1306.756165
631.571994,800,1314.69857
609.703287,800,1323.992301
583.378877,800,1337.599001
555.731732,800,1346.85367
595.620894,800,1357.735178
593.212333,800,1365.99964
599.436543,800,1374.136713
580.254036,800,1383.387001
578.154237,800,1397.187161
628.363953,800,1407.670906
614.060318,800,1415.592815
581.942791,800,1425.641796
609.505239,800,1434.62034
603.310788,800,1442.74117
598.750379,800,1450.462211
596.047596,800,1462.953623
644.146526,800,1471.422968
611.893924,800,1480.16963
614.823165,800,1489.089027
611.614146,800,1499.080512
646.733173,800,1507.913577
615.973364,800,1520.897074
628.607158,800,1530.458352
637.044193,800,1538.617244
642.807727,800,1548.092377
632.183599,800,1556.092204
585.183063,800,1563.579545
587.368442,800,1576.186708
645.221547,800,1586.119122
619.986128,800,1595.172775
564.731677,800,1605.18727
582.838462,800,1613.75826
583.324331,800,1621.380016
628.593617,800,1633.181611
647.371684,800,1640.992862
620.481215,800,1650.775518
631.967488,800,1659.586468
636.587671,800,1667.740072
609.874758,800,1677.652546
616.399783,800,1687.083691
643.591008,800,1698.916302
582.831967,800,1708.793486
651.110877,800,1719.967122
585.73697,800,1729.772812
605.54228,800,1738.286841
561.402121,800,1746.81857
632.302094,800,1760.455366
