#{"t_start": 1635349027.7243407, "env_id": null}
r,l,t
-403.196228,32,0.031252
-22.020684,800,1.222182
-21.436214,800,4.363251
-404.239222,53,6.540408
-56.159578,800,7.67898
-84.031091,800,11.074551
-19.225274,800,14.264121
-2.999939,800,17.782559
-5.26416,800,29.694924
0.032163,800,33.029832
-10.396431,800,36.066967
-409.004544,282,38.551688
-7.689027,800,40.260607
-11.593531,800,43.430167
1.138475,800,46.764605
0.489877,800,57.167155
-20.762622,800,60.458968
-406.586272,140,62.880779
-438.269995,560,63.866451
-421.769247,281,65.824725
-455.371245,579,67.282064
-404.190705,126,69.14593
-405.197615,98,69.603054
42.224787,800,70.919423
-418.220807,174,73.712185
-436.990591,310,74.789522
-405.529595,113,75.873215
-405.048992,217,76.448148
-455.164336,454,78.653217
48.525006,800,80.799134
88.283482,800,84.026945
66.691508,800,87.377324
62.330176,800,90.744876
80.395216,800,93.978818
115.419497,800,1807.035236
118.891857,800,1811.716156
127.068288,800,1816.325478
109.791931,800,1821.172185
123.719489,800,1825.821586
119.643267,800,1830.518781
144.561998,800,1847.374563
218.86537,800,1851.831201
168.621477,800,1856.232755
234.63166,800,1860.59975
210.271758,800,1864.938237
221.065908,800,1869.360859
297.465474,800,1873.797193
343.406798,800,1890.541185
367.228338,800,1895.018939
394.887216,800,1899.382026
425.575236,800,1903.749764
427.085563,800,1908.175914
391.60018,800,1912.502467
419.668423,800,1927.819144
384.58754,800,1932.322336
425.093467,800,1936.672755
400.704495,800,1941.110614
433.956074,800,1945.458817
422.44188,800,1949.815762
423.733164,800,1966.192732
378.466304,800,1970.593668
405.010144,800,1975.036717
414.57907,800,1979.476544
436.621575,800,1984.04693
447.88061,800,1988.577333
458.150186,800,2004.065091
437.924179,800,2008.738802
440.968753,800,2013.290349
446.601351,800,2017.75332
439.223452,800,2022.236268
437.26214,800,2026.790902
451.589335,800,2031.38818
457.864036,800,2046.406069
460.693891,800,2050.873312
452.916694,800,2055.355211
469.836269,800,2059.843842
454.796553,800,2064.551076
459.290406,800,2069.05666
470.78154,800,2084.608718
469.625061,800,2089.329982
473.594246,800,2093.96602
482.953996,800,2098.653561
459.810517,800,2103.279143
486.200475,800,2107.957842
454.692561,800,2124.092551
463.259,800,2128.868835
464.624229,800,2133.659151
512.914363,800,2138.361005
434.487663,800,2143.138856
466.31184,800,2147.855105
463.587011,800,2163.071463
449.463596,800,2167.790659
478.720355,800,2172.531009
467.963587,800,2177.333423
482.049786,800,2182.076952
492.745428,800,2186.92457
469.677046,800,2191.72886
494.378993,800,2207.369675
527.925536,800,2212.207105
540.549872,800,2217.189947
562.485033,800,2222.226963
570.041204,800,2227.265514
628.902345,800,2232.37476
554.870756,800,2251.824097
552.433888,800,2256.899635
610.123895,800,2262.050489
523.214926,800,2267.189879
633.728049,800,2272.351288
597.581641,800,2277.479137
598.716752,800,2298.967041
616.217234,800,2304.136441
607.404399,800,2309.156743
550.483457,800,2314.214493
544.154081,800,2319.189059
607.945894,800,2324.205798
595.866063,800,2341.989567
616.408022,800,2347.07064
593.999609,800,2352.090714
574.931861,800,2357.056468
621.276992,800,2362.064661
635.29205,800,2367.110368
621.945635,800,2372.122011
602.306148,800,2391.580355
604.116766,800,2396.590699
616.457862,800,2401.672071
604.595209,800,2406.7698
606.887449,800,2411.973502
612.18531,800,2417.071117
622.750489,800,2435.273795
562.431423,800,2440.314634
563.470408,800,2445.430239
621.420312,800,2450.544734
591.745466,800,2455.637482
621.099658,800,2460.770463
584.360301,800,2478.876026
570.32727,800,2483.976737
609.083243,800,2489.097529
533.025302,800,2494.229505
596.933317,800,2499.352672
604.157395,800,2504.470439
588.643289,800,2522.450659
566.068706,800,2527.568016
609.867675,800,2532.69984
589.96134,800,2537.843262
520.832563,800,2543.030478
595.441512,800,2548.2099
603.471169,800,2553.345883
574.638183,800,2571.285608
538.940561,800,2576.47288
564.002607,800,2581.637504
598.571256,800,2586.84618
624.200805,800,2592.022902
553.916643,800,2597.232026
622.410387,800,2614.996397
621.986958,800,2620.178395
572.407083,800,2625.296038
609.258943,800,2630.49063
598.480947,800,2635.723284
-131.890446,460,2640.380796
638.781706,800,2643.963106
-190.481938,397,2659.359557
526.366929,800,2662.693148
582.970259,800,2668.014929
616.373605,800,2673.346099
590.959793,800,2678.665969
589.136415,800,2683.897085
590.133843,800,7712.625839
586.614592,800,7715.951303
575.496714,800,7719.27983
636.157855,800,7722.682801
611.441386,800,7726.030133
539.704846,800,7729.400647
639.415409,800,7732.814378
609.835486,800,7746.566186
604.430752,800,7749.946713
582.835617,800,7753.32747
578.163128,800,7756.728552
620.615687,800,7760.169804
608.459675,800,7763.581073
595.263743,800,7775.05548
623.822805,800,7778.676058
635.777208,800,7782.269302
604.447941,800,7785.874196
595.824728,800,7789.472775
610.156769,800,7793.13352
577.180744,800,7806.201211
608.230694,800,7809.866868
606.48663,800,7813.631743
598.613242,800,7817.823632
619.786942,800,7821.337844
607.289377,800,7824.993343
612.068293,800,7837.590576
621.800117,800,7841.779278
600.906097,800,7845.561427
595.0034,800,7849.408505
589.620061,800,7853.178269
591.264078,800,7856.958865
588.257197,800,7860.75052
585.132571,800,7873.666309
